行业代码,报表日期,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),每股未分配利润,每股资本公积金,流动比率,速动比率,应收账款周转率,资产负债率,每股现金流,总资产周转率,每股经营性现金流,非经常性损益比率,应收账款周转天数,存货周转率,存货周转天数,固定资产周转率,净资产增长率,红利发放比率,留存比率,每股净资产,调整后的每股净资产,
10102010,2017-09-30 00:00:00,0.1804,0.1894,10.2913,0.0,0.1008,0.0175,0.0413,0.0194,0.0695,0.0294,0.0309,3.1705,0.8157,0.7466,0.6051,None,56.005,0.1365,None,1.142,-0.7866,None,None,None,None,None,0.0,1.0,None,None,
10102010,2018-09-30 00:00:00,0.3493,0.3719,12.1018,0.0,0.1106,0.0288,0.0606,0.0305,0.1182,0.0562,0.0599,3.2421,0.8141,0.7462,0.6048,None,55.46,0.008,None,1.2693,14.7833,None,None,None,None,None,0.0,1.0,None,None,
10102010,2019-12-31 00:00:00,0.3228,0.3355,17.5126,0.1638,0.0956,0.0184,0.0441,0.0326,0.1232,0.0514,0.0535,3.2651,0.8177,0.7417,0.5931,62.7022,59.3277,0.0234,1.2312,1.6459,23.1133,0.0159,35.2579,0.0283,2.654,2.6076,0.2702,0.7298,3.2883,None,
10102010,2020-09-30 00:00:00,0.107,-0.1057,9.5314,0.0,0.0777,0.0112,0.0361,0.0136,0.055,0.017,-0.0168,3.1962,0.8168,0.6166,0.4995,None,64.3566,0.0544,None,0.7927,109.634,None,None,None,None,None,0.0,1.0,None,None,
10102010,2017-03-31 00:00:00,0.0721,0.0754,3.4583,0.0,0.1041,0.0208,0.047,0.0075,0.0265,0.0118,0.0123,3.2324,0.8086,0.6708,0.4892,None,57.99,-0.0201,None,0.2766,17.3016,None,None,None,None,None,0.0,1.0,None,None,
10102010,2018-06-30 00:00:00,0.222,0.226,7.7059,0.0,0.1109,0.0288,0.0599,0.0199,0.0745,0.0358,0.0364,3.2289,0.8146,0.8041,0.6566,None,53.4562,-0.0302,None,0.6986,760.2812,None,None,None,None,None,0.0,1.0,2.02,None,
10102010,2018-03-31 00:00:00,0.0947,0.0991,3.744,0.0,0.1079,0.0253,0.0571,0.0091,0.0341,0.0151,0.0158,3.31,0.8163,0.7216,0.581,None,54.83,-0.0931,None,0.2394,8.0916,None,None,None,None,None,0.0,1.0,None,None,
10102010,2017-06-30 00:00:00,0.1284,0.1333,6.8864,0.0,0.0989,0.0186,0.0419,0.0135,0.0471,0.0209,0.0217,3.1973,0.8081,0.8261,0.6172,None,56.3922,0.0078,None,0.6596,5.4044,None,None,None,None,None,0.0,1.0,1.77,None,
10102010,2021-03-31 00:00:00,0.1483,0.1485,3.6181,0.0,0.1303,0.041,0.0733,0.012,0.0418,0.0234,0.0234,3.3803,0.8198,0.6372,0.5018,None,63.25,0.0389,None,-0.0475,15.155,None,None,None,None,None,0.0,1.0,None,None,
10102010,2021-06-30 00:00:00,0.2983,0.2712,7.8683,0.0,0.1138,0.0379,0.0688,0.024,0.0862,0.0474,0.0431,3.429,0.8169,0.7025,0.5493,None,60.2514,-0.014,None,0.5319,2.4742,None,None,None,None,None,0.0,1.0,4.37,None,
10102010,2019-09-30 00:00:00,0.2586,0.2638,12.932,0.0,0.0915,0.02,0.046,0.025,0.0948,0.0411,0.042,3.2376,0.818,0.6556,0.5117,None,57.0933,0.0055,None,1.0311,0.85,None,None,None,None,None,0.0,1.0,None,None,
10102010,2017-12-31 00:00:00,0.2398,0.2346,14.0761,0.0791,0.108,0.017,0.039,0.0249,0.0889,0.0388,0.0379,3.2129,0.8159,0.8137,0.6445,77.3092,57.1977,0.0496,1.2291,1.7922,5.33,0.0129,14.0966,0.0709,49.1321,3.2424,0.0721,0.9279,2.8792,None,
10102010,2019-03-31 00:00:00,0.0807,0.0906,4.1803,0.0,0.0976,0.0193,0.0487,0.0082,0.0323,0.0128,0.0143,3.3096,0.8131,0.743,0.5858,None,56.2133,0.0495,None,0.1538,10.84,None,None,None,None,None,0.0,1.0,None,None,
10102010,2018-12-31 00:00:00,0.3711,0.4031,16.763,0.1132,0.1069,0.0221,0.0488,0.0332,0.1318,0.0597,0.0649,3.2272,0.8128,0.7435,0.6212,71.8934,54.7875,-0.13,0.7307,1.6944,12.5637,0.0139,16.9646,0.0589,3.4409,1.6909,1.9714,-0.9714,3.1643,None,
10102010,2020-12-31 00:00:00,0.1692,-0.0393,12.9286,0.1281,0.0935,0.013,0.0377,0.02,0.0771,0.0267,-0.0062,3.2317,0.8196,0.6568,0.5329,40.1457,61.3771,-0.0091,0.5714,1.5607,77.3042,0.0249,34.1041,0.0293,2.2125,1.5563,5.367,-4.367,5.066,None,
10102010,2021-09-30 00:00:00,0.4375,0.4127,12.4335,0.0,0.1094,0.0351,0.0631,0.0356,0.1232,0.0686,0.0647,3.4306,0.8142,0.6236,0.5012,None,64.155,-0.0043,None,1.1089,30.145,None,None,None,None,None,0.0,1.0,None,None,
10102010,2020-03-31 00:00:00,-0.1148,-0.1137,3.4004,0.0,0.0425,-0.0337,-0.0261,-0.0057,-0.0141,-0.0183,-0.0181,3.1631,0.8181,0.617,0.4843,None,63.545,0.002,None,-0.2738,-10.59,None,None,None,None,None,0.0,1.0,None,None,
10102010,2019-06-30 00:00:00,0.192,0.1954,8.6066,0.0,0.0949,0.0223,0.0499,0.0186,0.0686,0.0306,0.0312,3.2609,0.8083,0.7459,0.6129,None,55.2912,-0.0595,None,0.5391,8.1337,None,None,None,None,None,0.0,1.0,2.03,None,
