行业代码,报表日期,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),每股未分配利润,每股资本公积金,流动比率,速动比率,应收账款周转率,资产负债率,每股现金流,总资产周转率,每股经营性现金流,非经常性损益比率,应收账款周转天数,存货周转率,存货周转天数,固定资产周转率,净资产增长率,红利发放比率,留存比率,每股净资产,调整后的每股净资产,
15105020,2017-09-30 00:00:00,0.4148,0.3851,4.3935,0.0,0.2332,0.0944,0.1517,0.054,0.1617,0.1006,0.0934,1.1036,1.6937,1.8549,1.4252,None,42.9031,0.0814,None,0.2434,41.3184,None,None,None,None,None,0.0,1.0,None,None,
15105020,2018-09-30 00:00:00,0.4299,0.3773,4.602,0.0,0.2233,0.0934,0.1563,0.0578,0.1727,0.1032,0.0905,1.341,1.5002,1.9019,1.4543,None,44.9886,-0.069,None,0.8758,24.1256,None,None,None,None,None,0.0,1.0,None,None,
15105020,2019-12-31 00:00:00,0.3399,0.278,6.0793,0.0318,0.1994,0.0559,0.1002,0.0496,0.1412,0.0787,0.0644,1.5161,1.4417,1.7652,1.363,8.1151,46.1947,0.1728,0.8065,1.0811,33.6062,0.1232,5.7147,0.1749,2.7251,2.0885,0.0,1.0,2.8726,None,
15105020,2017-03-31 00:00:00,0.1149,0.106,1.342,0.0,0.2292,0.0856,0.1371,0.0158,0.0493,0.0308,0.0284,0.9302,1.6215,1.8131,1.3835,None,45.1144,0.1201,None,-0.0874,12.2015,None,None,None,None,None,0.0,1.0,None,None,
15105020,2020-09-30 00:00:00,0.2723,0.2313,4.2265,0.0,0.2026,0.0644,0.1114,0.0376,0.1075,0.0621,0.0528,1.7079,1.472,1.9807,1.5949,None,45.9882,0.5042,None,0.7672,-14.3859,None,None,None,None,None,0.0,1.0,14.435,3.48,
15105020,2018-06-30 00:00:00,0.2975,0.2602,2.959,0.0,0.2318,0.1005,0.1632,0.0402,0.1223,0.0753,0.0658,1.1989,1.46,2.0368,1.534,None,45.6729,-0.0637,None,0.496,42.4045,None,None,None,None,None,0.0,1.0,2.0115,None,
15105020,2018-03-31 00:00:00,0.1389,0.1271,1.5003,0.0,0.2319,0.0926,0.1608,0.0183,0.0576,0.0331,0.0303,1.2844,1.66,2.0137,1.6021,None,46.8329,0.0338,None,0.12,13.3326,None,None,None,None,None,0.0,1.0,None,None,
15105020,2017-06-30 00:00:00,0.2439,0.2219,2.6397,0.0,0.2249,0.0923,0.1393,0.0327,0.1015,0.0673,0.0612,0.9009,1.5943,1.6512,1.201,None,46.8291,0.0532,None,-0.0857,37.5519,None,None,None,None,None,0.0,1.0,1.9678,None,
15105020,2021-03-31 00:00:00,0.2054,0.1956,1.8392,0.0,0.223,0.1116,0.164,0.0222,0.0675,0.0459,0.0438,1.8593,1.52,2.0734,1.6827,None,51.2246,-0.3566,None,0.3145,8.7476,None,None,None,None,None,0.0,1.0,None,None,
15105020,2021-06-30 00:00:00,0.402,0.3768,3.6674,0.0,0.2224,0.1096,0.1596,0.0425,0.1227,0.0842,0.079,2.225,1.4997,1.8666,1.3998,None,42.1467,-0.1847,None,0.5676,19.1345,None,None,None,None,None,0.0,1.0,2.6817,8.18,
15105020,2019-09-30 00:00:00,0.2543,0.2057,4.3818,0.0,0.1891,0.058,0.1053,0.0374,0.1078,0.0594,0.048,1.4739,1.4504,1.9616,1.5902,None,45.3316,0.2416,None,0.7479,65.5972,None,None,None,None,None,0.0,1.0,None,None,
15105020,2017-12-31 00:00:00,0.6616,0.5034,5.8294,0.001,0.2338,0.1134,0.1536,0.0863,0.2317,0.1712,0.1303,1.1059,1.5887,1.79,1.3624,7.8313,47.7126,0.0903,0.8064,0.564,27.9281,0.1276,6.0245,0.1659,3.0242,2.1212,0.019,0.981,2.0505,None,
15105020,2019-03-31 00:00:00,0.0612,0.0439,1.3559,0.0,0.1625,0.0451,0.0902,0.0097,0.0276,0.0138,0.0099,1.4293,1.4982,1.7518,1.3854,None,46.3431,0.067,None,0.2361,47.93,None,None,None,None,None,0.0,1.0,None,None,
15105020,2018-12-31 00:00:00,0.4733,0.3999,5.9835,0.0032,0.2083,0.0791,0.1278,0.0654,0.1849,0.1144,0.0966,1.3179,1.4386,1.9149,1.4346,8.2969,46.0195,0.0279,0.7896,1.1397,23.3363,0.1205,5.7877,0.1727,2.7966,1.7478,0.0036,0.9964,2.3844,None,
15105020,2021-09-30 00:00:00,0.5006,0.4566,5.7008,0.0,0.1926,0.0878,0.1321,0.0539,0.1542,0.1025,0.0935,2.3706,1.5381,1.971,1.5268,None,41.4728,-0.3747,None,0.8048,17.056,None,None,None,None,None,0.0,1.0,None,None,
