行业代码,报表日期,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),每股未分配利润,每股资本公积金,流动比率,速动比率,应收账款周转率,资产负债率,每股现金流,总资产周转率,每股经营性现金流,非经常性损益比率,应收账款周转天数,存货周转率,存货周转天数,固定资产周转率,净资产增长率,红利发放比率,留存比率,每股净资产,调整后的每股净资产,
15104050,2017-09-30 00:00:00,0.2667,0.2591,5.9226,0.0,0.1154,0.045,0.0733,0.0399,0.1439,0.0883,0.0858,0.5173,1.3994,1.4569,1.1115,None,54.3757,0.074,None,0.4064,15.7542,None,None,None,None,None,0.0,1.0,3.7833,None,
15104050,2018-09-30 00:00:00,0.4406,0.4195,6.3013,0.0,0.1514,0.0699,0.1096,0.0586,0.2021,0.1289,0.1227,0.8736,1.4579,1.4655,1.0884,None,50.8282,0.0624,None,0.7884,8.8191,None,None,None,None,None,0.0,1.0,2.38,None,
15104050,2019-12-31 00:00:00,0.3031,0.2787,8.6812,0.0795,0.1079,0.0349,0.059,0.0435,0.1365,0.0806,0.0741,1.0382,1.4522,1.8989,1.3085,70.6946,48.0723,0.0551,1.1565,0.6865,26.1911,0.0141,7.0432,0.1419,96.0354,2.8002,0.1194,0.8806,2.7478,None,
15104050,2017-03-31 00:00:00,0.0697,0.0664,2.0931,0.0,0.1003,0.0333,0.0597,0.0108,0.0399,0.0222,0.0212,0.4071,1.5844,1.4715,1.0783,None,55.6903,-0.0426,None,0.0576,12.1417,None,None,None,None,None,0.0,1.0,3.7866,None,
15104050,2020-09-30 00:00:00,0.222,0.2105,6.351,0.0,0.1033,0.0349,0.0579,0.0298,0.095,0.0572,0.0543,1.1496,1.4456,1.7448,1.3507,None,48.8047,0.12,None,0.4415,62.8443,None,None,None,None,None,0.0,1.0,2.94,None,
15104050,2018-06-30 00:00:00,0.2729,0.2591,4.0073,0.0,0.1474,0.0681,0.1067,0.0369,0.1315,0.0839,0.0796,0.7609,1.4339,1.6679,1.1275,None,48.7139,-0.0207,None,0.3734,3.4298,None,None,None,None,None,0.0,1.0,1.9677,None,
15104050,2018-03-31 00:00:00,0.116,0.1151,1.85,0.0,0.1391,0.0627,0.0971,0.0153,0.0551,0.0356,0.0353,0.716,1.4466,1.4549,1.0714,None,51.4912,-0.0453,None,0.0443,9.7974,None,None,None,None,None,0.0,1.0,2.64,None,
15104050,2017-06-30 00:00:00,0.1243,0.1183,3.7979,0.0,0.1004,0.0327,0.0596,0.0215,0.0792,0.0435,0.0414,0.3714,1.3498,1.5975,1.1217,None,51.9449,-0.0235,None,0.1934,9.9876,None,None,None,None,None,0.0,1.0,1.8706,None,
15104050,2021-03-31 00:00:00,0.1392,0.1348,2.6836,0.0,0.1178,0.0518,0.0803,0.0162,0.0536,0.0346,0.0335,1.3374,1.4535,1.761,1.3242,None,48.4455,-0.0898,None,0.1341,9.9293,None,None,None,None,None,0.0,1.0,3.07,None,
15104050,2021-06-30 00:00:00,0.3874,0.3805,5.9764,0.0,0.1313,0.0648,0.0958,0.043,0.1414,0.0956,0.0939,1.4582,1.4644,1.698,1.2122,None,49.3478,-0.0178,None,0.5276,0.4796,None,None,None,None,None,0.0,1.0,2.3422,None,
15104050,2019-06-30 00:00:00,0.1685,0.1619,4.1075,0.0,0.1117,0.041,0.0693,0.0239,0.0797,0.0471,0.0453,0.9425,1.3989,1.9977,1.4487,None,47.9134,-0.0185,None,0.2169,16.4273,None,None,None,None,None,0.0,1.0,2.3822,None,
15104050,2019-09-30 00:00:00,0.2504,0.2409,6.6539,0.0,0.1056,0.0376,0.0636,0.0347,0.1137,0.0672,0.0647,1.0238,1.4576,1.9771,1.5417,None,49.8987,0.0546,None,0.4233,16.3625,None,None,None,None,None,0.0,1.0,6.58,None,
