公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001039,2020-06-30 00:00:00,焦化产品及附产品,元,人民币,4617857948.23,None,None,3886785966.9,None,None,None
10001039,2020-06-30 00:00:00,煤炭,元,人民币,323354367.48,None,None,193448232.77,None,None,None
10001039,2020-06-30 00:00:00,其他,元,人民币,8796689.71,None,None,6154552.63,None,None,None
10001039,2020-06-30 00:00:00,其他(补充),元,人民币,None,None,None,1426350.0,None,None,None
10001039,2020-06-30 00:00:00,新能源汽车及氢气,元,人民币,295260969.99,None,None,238175284.26,None,None,None
