行业代码,报表日期,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),每股未分配利润,每股资本公积金,流动比率,速动比率,应收账款周转率,资产负债率,每股现金流,总资产周转率,每股经营性现金流,非经常性损益比率,应收账款周转天数,存货周转率,存货周转天数,固定资产周转率,净资产增长率,红利发放比率,留存比率,每股净资产,调整后的每股净资产
15101010,2017-09-30 00:00:00,0.2779,0.2429,4.3573,0.0,0.1587,0.0637,0.0946,0.0516,0.1323,0.0891,0.0779,0.875,1.3412,2.5424,2.0919,None,102.1637,0.0266,None,0.2817,11.862,None,None,None,None,None,0.0,1.0,1.7685,None
15101010,2018-09-30 00:00:00,0.333,0.2906,4.6654,0.0,0.1644,0.0713,0.1061,0.0564,0.1524,0.1024,0.0894,1.0262,1.3542,2.364,1.9129,None,116.4807,0.0362,None,0.3337,27.1445,None,None,None,None,None,0.0,1.0,2.6733,None
15101010,2019-12-31 00:00:00,0.2942,0.2486,5.9973,0.061,0.1569,0.049,0.0817,0.0506,0.1463,0.0878,0.0742,1.031,1.3052,2.2332,1.7397,16.2641,1643.7078,0.063,0.9322,0.5338,16.1918,0.0614,7.4035,0.135,149.1094,2.1146,0.0588,0.9412,2.916,3.9133
15101010,2020-09-30 00:00:00,0.2708,0.2486,4.7191,0.0,0.1617,0.0573,0.0997,0.0414,0.1292,0.0743,0.0682,1.2172,1.4302,2.6166,2.2087,None,3369.9045,0.1907,None,0.4114,47.2439,None,None,None,None,None,0.0,1.0,4.6775,2.895
15101010,2017-03-31 00:00:00,0.0991,0.0875,1.3956,0.0,0.1707,0.071,0.1028,0.0181,0.0474,0.0327,0.0289,0.8153,1.4152,2.4282,1.9507,None,101.4859,0.0561,None,0.0252,12.1563,None,None,None,None,None,0.0,1.0,0.138,None
15101010,2018-06-30 00:00:00,0.2039,0.1802,2.9194,0.0,0.1649,0.0698,0.1046,0.0371,0.0986,0.0658,0.0582,0.9035,1.2858,2.3442,1.744,None,70.0903,-0.0007,None,0.1595,1749.2623,None,None,None,None,None,0.0,1.0,2.1439,None
15101010,2018-03-31 00:00:00,0.1051,0.0934,1.4771,0.0,0.1682,0.0711,0.1064,0.0179,0.0477,0.0319,0.0283,0.9726,1.4244,2.6172,2.1297,None,112.2194,-0.0103,None,0.0139,26.2742,None,None,None,None,None,0.0,1.0,-1.1419,None
15101010,2017-06-30 00:00:00,0.169,0.1462,2.7591,0.0,0.1583,0.0612,0.0905,0.0342,0.0881,0.0596,0.0516,0.7593,1.2665,2.3467,1.8148,None,60.5705,0.0072,None,0.0904,40.4512,None,None,None,None,None,0.0,1.0,2.1957,None
15101010,2021-03-31 00:00:00,0.1746,0.1556,1.9546,0.0,0.181,0.0893,0.1357,0.0213,0.0692,0.0455,0.0405,1.3618,1.5489,2.4753,2.056,None,215.355,-0.0336,None,0.0874,17.6455,None,None,None,None,None,0.0,1.0,4.462,None
15101010,2019-06-30 00:00:00,0.1672,0.1383,2.9638,0.0,0.1494,0.0564,0.0876,0.0286,0.0794,0.0511,0.0423,0.997,1.3192,2.3015,1.7548,None,1482.0656,0.0239,None,0.2351,33.655,None,None,None,None,None,0.0,1.0,2.2388,None
