行业代码,报表日期,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),每股未分配利润,每股资本公积金,流动比率,速动比率,应收账款周转率,资产负债率,每股现金流,总资产周转率,每股经营性现金流,非经常性损益比率,应收账款周转天数,存货周转率,存货周转天数,固定资产周转率,净资产增长率,红利发放比率,留存比率,每股净资产,调整后的每股净资产
15102010,2017-09-30 00:00:00,0.4506,0.3939,4.6066,0.0,0.2588,0.0978,0.1606,0.044,0.14,0.0853,0.0745,2.8691,1.3311,2.4766,2.1932,None,52.541,0.106,None,0.2109,36.0007,None,None,None,None,None,0.0,1.0,2.5257,None
15102010,2018-09-30 00:00:00,0.8302,0.7875,5.9229,0.0,0.3095,0.1401,0.2171,0.0644,0.2201,0.1421,0.1348,3.5187,1.318,2.3319,2.0606,None,47.2811,-0.0204,None,0.7539,82.8076,None,None,None,None,None,0.0,1.0,2.35,None
15102010,2019-12-31 00:00:00,1.052,0.9987,9.0287,0.2929,0.287,0.1165,0.1894,0.0819,0.2835,0.1743,0.1655,3.7298,1.1564,1.7827,1.5334,19.379,49.385,0.1046,0.7951,1.6242,9.1313,0.0516,12.9465,0.0772,3.3184,1.9447,0.1469,0.8531,2.6485,None
15102010,2017-03-31 00:00:00,0.0555,0.0358,1.1719,0.0,0.225,0.0474,0.0912,0.0076,0.0205,0.0106,0.0068,2.7132,1.3232,1.7273,1.445,None,50.6312,-0.0805,None,-0.1287,24.3525,None,None,None,None,None,0.0,1.0,1.5525,None
15102010,2020-09-30 00:00:00,0.9678,0.8741,7.3154,0.0,0.2729,0.1323,0.2011,0.0634,0.2002,0.1316,0.1189,4.8445,1.2947,2.2733,2.0255,None,48.2457,-0.1252,None,0.9081,37.711,None,None,None,None,None,0.0,1.0,3.65,None
15102010,2018-06-30 00:00:00,0.477,0.4593,3.3459,0.0,0.3148,0.1425,0.2192,0.0413,0.139,0.0904,0.087,2.9996,1.2493,2.4744,2.0482,None,45.7666,-0.0392,None,0.3603,104.7352,None,None,None,None,None,0.0,1.0,1.8069,None
15102010,2018-03-31 00:00:00,0.1295,0.1221,1.3205,0.0,0.2878,0.098,0.1619,0.0123,0.0387,0.0234,0.0221,3.0941,1.4007,1.8704,1.5631,None,47.9552,-0.1749,None,-0.0274,18.3926,None,None,None,None,None,0.0,1.0,1.79,None
15102010,2017-06-30 00:00:00,0.2547,0.2125,2.7363,0.0,0.2535,0.0931,0.1531,0.0275,0.0869,0.0528,0.044,2.5144,1.2377,1.8257,1.5008,None,48.1621,-0.0114,None,0.0022,24.9566,None,None,None,None,None,0.0,1.0,1.8111,None
15102010,2021-03-31 00:00:00,0.1812,0.1689,2.0952,0.0,0.2156,0.0865,0.1304,0.0131,0.0377,0.025,0.0233,4.9441,1.3201,2.6183,2.3228,None,40.3084,0.1503,None,0.0274,25.8192,None,None,None,None,None,0.0,1.0,5.1,None
15102010,2019-06-30 00:00:00,0.535,0.5276,4.1892,0.0,0.291,0.1277,0.2084,0.0427,0.1496,0.0916,0.0904,3.5321,1.1879,1.9969,1.6624,None,47.184,-0.0663,None,0.5186,14.8994,None,None,None,None,None,0.0,1.0,1.9598,None
15102010,2021-06-30 00:00:00,0.5291,0.4923,4.8208,0.0,0.2308,0.1097,0.1612,0.0398,0.1167,0.0794,0.0739,4.4504,1.2205,2.0786,1.7847,None,44.0769,-0.0148,None,0.456,-2.8814,None,None,None,None,None,0.0,1.0,2.008,None
15102010,2019-09-30 00:00:00,0.9093,0.894,6.9764,0.0,0.293,0.1303,0.2101,0.0645,0.2255,0.1398,0.1375,4.1109,1.2518,2.1722,1.9178,None,46.792,-0.1007,None,1.068,383.9419,None,None,None,None,None,0.0,1.0,3.05,None
15102010,2017-12-31 00:00:00,0.5935,0.5178,6.3346,0.0128,0.2739,0.0936,0.1605,0.0591,0.1995,0.1164,0.1015,2.7485,1.2912,1.8993,1.5873,19.3774,46.2211,0.0981,0.7801,0.7356,35.8602,0.0516,11.1222,0.0899,4.7675,2.1095,0.0238,0.9762,1.9976,None
