行业代码,报表日期,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),每股未分配利润,每股资本公积金,流动比率,速动比率,应收账款周转率,资产负债率,每股现金流,总资产周转率,每股经营性现金流,非经常性损益比率,应收账款周转天数,存货周转率,存货周转天数,固定资产周转率,净资产增长率,红利发放比率,留存比率,每股净资产,调整后的每股净资产
10101010,2017-09-30 00:00:00,0.4043,0.3783,3.2757,0.0,0.2702,0.1234,0.1316,0.0392,0.0734,0.0688,0.0644,2.8617,3.0318,2.4129,2.1471,None,29.88,-1.6233,None,-0.2492,6.43,None,None,None,None,None,0.0,1.0,None,None
10101010,2018-09-30 00:00:00,0.2632,0.23,2.7,0.0,0.2493,0.0975,0.0945,0.0349,0.0556,0.0574,0.0501,1.9536,1.4645,1.5848,1.3079,None,43.19,-0.5919,None,-0.9359,12.64,None,None,None,None,None,0.0,1.0,None,None
10101010,2019-12-31 00:00:00,0.8281,0.1274,11.1034,0.0,0.1894,0.0745,0.0934,0.0543,0.2029,0.1619,0.0249,2.2049,1.8902,0.9641,0.6816,6.3481,70.72,-1.0275,0.6794,1.2077,24.27,0.1575,3.4485,0.2899,2.1363,2.7738,0.0,1.0,None,None
10101010,2020-09-30 00:00:00,0.1002,0.0885,3.0459,0.0,0.2193,0.0329,0.0808,0.0165,0.0507,0.0206,0.0182,2.0725,1.3557,1.2168,0.9817,None,57.23,-0.4401,None,-0.1574,11.68,None,None,None,None,None,0.0,1.0,None,None
10101010,2017-03-31 00:00:00,-0.076,-0.0821,0.0393,0.0,0.1932,-1.9316,-1.9237,-0.0182,-0.0213,-0.0214,-0.0231,2.5704,2.8156,4.878,4.4803,None,14.16,-0.7048,None,0.3842,-8.04,None,None,None,None,None,0.0,1.0,None,None
10101010,2018-06-30 00:00:00,0.0992,0.0816,1.1821,0.0,0.2981,0.0839,0.0843,0.0135,0.023,0.0229,0.0188,1.7896,1.4645,1.5545,1.2171,None,43.6,-0.3829,None,-0.4854,17.77,None,None,None,None,None,0.0,1.0,None,None
10101010,2018-03-31 00:00:00,-0.056,-0.0671,0.0799,0.0,0.2776,-0.7016,-0.7064,-0.0055,-0.0078,-0.0078,-0.0093,2.8725,3.0802,1.8115,1.3933,None,35.24,-0.7065,None,-0.4453,-19.69,None,None,None,None,None,0.0,1.0,None,None
10101010,2017-06-30 00:00:00,0.1545,0.1425,1.747,0.0,0.243,0.0884,0.1009,0.0167,0.0314,0.0275,0.0254,2.6866,2.8156,2.7581,2.5245,None,25.13,-1.3443,None,-0.1804,7.73,None,None,None,None,None,0.0,1.0,None,None
10101010,2021-03-31 00:00:00,0.0107,0.0,0.9453,0.0,0.1761,0.0113,0.038,0.0026,0.0074,0.0022,0.0,2.0956,1.3563,1.1037,1.0082,None,62.54,0.0862,None,0.1799,None,None,None,None,None,None,None,None,None,None
10101010,2019-06-30 00:00:00,0.1708,0.1142,3.3594,0.0,0.1307,0.0508,0.0568,0.0193,0.0407,0.0364,0.0243,2.0066,1.4635,1.1692,0.8511,None,58.23,-0.8965,None,-0.4734,33.15,None,None,None,None,None,0.0,1.0,None,None
10101010,2021-06-30 00:00:00,0.1367,0.129,2.157,0.0,0.2181,0.0633,0.1027,0.0147,0.0445,0.0274,0.0259,2.1516,1.3563,1.1484,1.0514,None,59.45,0.3576,None,0.4135,5.61,None,None,None,None,None,0.0,1.0,None,None
10101010,2019-09-30 00:00:00,0.1778,0.1225,5.3713,0.0,0.124,0.0331,0.0281,0.012,0.0318,0.0375,0.0258,1.9529,1.4611,1.0674,0.8455,None,67.05,-0.1441,None,-0.2622,31.12,None,None,None,None,None,0.0,1.0,None,None
10101010,2017-12-31 00:00:00,0.5845,0.5479,5.4217,0.0,0.2963,0.1078,0.1339,0.0561,0.0997,0.0803,0.0752,2.9973,3.0869,1.7467,1.4958,2.1798,37.17,-1.9978,0.5008,0.7696,6.27,0.4587,5.5796,0.1792,2.1061,0.7448,0.0,1.0,None,None
10101010,2019-03-31 00:00:00,-0.0044,-0.0078,0.6055,0.0,0.1872,-0.0074,0.013,0.0012,0.0017,-0.001,-0.0017,1.8216,1.4977,1.3974,0.9585,None,46.45,-0.658,None,-0.2354,-73.79,None,None,None,None,None,0.0,1.0,None,None
10101010,2018-12-31 00:00:00,0.2221,0.1903,4.4209,0.06,0.2018,0.0502,0.0619,0.0285,0.0601,0.0488,0.0418,1.886,1.4849,1.2805,0.9703,2.9892,47.38,0.9034,0.5439,0.8364,14.32,0.3345,3.553,0.2814,1.9944,0.9716,0.0,1.0,None,None
10101010,2020-12-31 00:00:00,0.124,0.0933,4.6557,0.0,0.2223,0.0266,0.0794,0.025,0.0762,0.0255,0.0192,2.0848,1.3563,1.068,0.9876,1.3933,62.37,-0.2642,0.3632,0.2738,24.76,0.7177,4.9705,0.2011,1.1892,0.9595,0.0,1.0,None,None
10101010,2021-09-30 00:00:00,0.0932,0.0841,3.3257,0.0,0.1896,0.028,0.0552,0.0121,0.0378,0.0192,0.0173,2.112,1.3563,1.1138,1.0253,None,62.33,0.0041,None,-0.0114,9.7,None,None,None,None,None,0.0,1.0,None,None
10101010,2020-03-31 00:00:00,0.0072,0.0055,0.8277,0.0,0.1877,0.0087,0.0495,0.0027,0.0086,0.0015,0.0011,2.0267,1.416,1.1303,0.9527,None,58.61,0.1216,None,0.1659,22.66,None,None,None,None,None,0.0,1.0,None,None
10101010,2020-06-30 00:00:00,0.6048,0.5881,4.8058,0.0,0.2662,0.1258,0.1643,0.051,0.1621,0.1241,0.1207,2.6583,1.8471,0.998,0.8974,None,66.195,-0.1749,None,-0.6176,3.925,None,None,None,None,None,0.0,1.0,9.31,None
