公司代码,行业代码,行业名称,指数编制方分类,是否使用,停用日期,市场代码,指数代码,指数名称
10001372,740000,煤炭,申万一级行业指数,-1,None,CNSE00,801950,申万煤炭指数
10001372,740200,焦炭Ⅱ,申万二级行业指数,-1,None,CNSE00,801952,申万焦炭Ⅱ指数
10001372,740201,焦炭Ⅲ,申万三级行业指数,-1,None,CNSE00,859521,申万焦炭Ⅲ指数
