公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001125,2019-12-31 00:00:00,硫精矿,元,人民币,332868900.34,None,None,233371454.87,None,None,None
10001125,2019-12-31 00:00:00,硫酸,元,人民币,68578127.24,None,None,None,None,None,None
10001125,2019-12-31 00:00:00,铁矿粉,元,人民币,99409406.49,None,None,None,None,None,None
10001125,2019-12-31 00:00:00,试剂硫酸,元,人民币,13753881.91,None,None,None,None,None,None
10001125,2019-12-31 00:00:00,其他(补充),元,人民币,None,None,None,55096294.9,None,None,None
10001125,2019-12-31 00:00:00,磷肥,元,人民币,29119596.79,None,None,None,None,None,None
10001125,2019-12-31 00:00:00,其他,元,人民币,88291841.0,None,None,None,None,None,None
10001125,2019-12-31 00:00:00,机制糖,元,人民币,437731095.14,None,None,429182626.34,None,None,None
10001125,2019-12-31 00:00:00,文化纸,元,人民币,91292502.29,None,None,None,None,None,None
10001125,2019-12-31 00:00:00,-3mm矿,元,人民币,62316503.98,None,None,26265939.5,None,None,None
10001125,2019-12-31 00:00:00,贸易糖,元,人民币,2016027629.85,None,None,2012473798.48,None,None,None
10001125,2019-12-31 00:00:00,浆,元,人民币,108465872.75,None,None,None,None,None,None
10001125,2019-12-31 00:00:00,出口手捡矿,元,人民币,3707546.1,None,None,None,None,None,None
10001125,2019-12-31 00:00:00,原纸,元,人民币,150428685.12,None,None,None,None,None,None
