公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001125,2017-06-30 00:00:00,糖,元,人民币,305066525.67,None,None,277486233.23,None,None,None
10001125,2017-06-30 00:00:00,文化纸,元,人民币,26552309.61,None,None,25692084.64,None,None,None
10001125,2017-06-30 00:00:00,生活纸,元,人民币,171598218.39,None,None,164401355.09,None,None,None
10001125,2017-06-30 00:00:00,浆,元,人民币,51275119.08,None,None,51217260.98,None,None,None
10001125,2017-06-30 00:00:00,硫精矿,元,人民币,205775929.78,None,None,113297001.98,None,None,None
10001125,2017-06-30 00:00:00,-3MM矿,元,人民币,14472851.99,None,None,5887182.77,None,None,None
10001125,2017-06-30 00:00:00,出口矿,元,人民币,2725898.44,None,None,566820.34,None,None,None
10001125,2017-06-30 00:00:00,硫酸,元,人民币,8338035.7,None,None,8201723.12,None,None,None
10001125,2017-06-30 00:00:00,磷肥,元,人民币,18687433.74,None,None,22962283.5,None,None,None
10001125,2017-06-30 00:00:00,铁矿粉,元,人民币,7552672.83,None,None,4972140.96,None,None,None
10001125,2017-06-30 00:00:00,其他,元,人民币,6056850.24,None,None,7546282.2,None,None,None
10001125,2017-06-30 00:00:00,其他（补充）,元,人民币,36259591.02,None,None,32000594.6,None,None,None
