公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001125,2021-06-30 00:00:00,-3mm矿,元,人民币,34978692.63,None,None,None,None,None,None
10001125,2021-06-30 00:00:00,出口手捡矿,元,人民币,3095658.11,None,None,None,None,None,None
10001125,2021-06-30 00:00:00,机制糖,元,人民币,113894651.37,None,None,None,None,None,None
10001125,2021-06-30 00:00:00,浆,元,人民币,58366536.88,None,None,None,None,None,None
10001125,2021-06-30 00:00:00,磷肥,元,人民币,23436779.85,None,None,None,None,None,None
10001125,2021-06-30 00:00:00,硫精矿,元,人民币,211713566.03,None,None,129303904.11,None,None,None
10001125,2021-06-30 00:00:00,硫酸,元,人民币,82570043.05,None,None,None,None,None,None
10001125,2021-06-30 00:00:00,贸易糖,元,人民币,675370968.59,None,None,675099661.98,None,None,None
10001125,2021-06-30 00:00:00,其他,元,人民币,62408298.25,None,None,None,None,None,None
10001125,2021-06-30 00:00:00,生活纸,元,人民币,14098249.86,None,None,None,None,None,None
10001125,2021-06-30 00:00:00,试剂硫酸,元,人民币,14367877.99,None,None,None,None,None,None
10001125,2021-06-30 00:00:00,铁矿粉,元,人民币,91760509.99,None,None,None,None,None,None
10001125,2021-06-30 00:00:00,文化纸,元,人民币,112503476.54,None,None,None,None,None,None
