公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
80155051,2019-12-31 00:00:00,钻井服务项目,元,人民币,72583060.4,None,None,69350158.47,None,None,None
80155051,2019-12-31 00:00:00,其他（补充）,元,人民币,8088581.8,None,None,3560332.5,None,None,None
80155051,2019-12-31 00:00:00,压裂完井项目,元,人民币,197210211.28,None,None,96693101.86,None,None,None
80155051,2019-12-31 00:00:00,射孔销售及服务项目,元,人民币,1276886306.69,None,None,843853704.61,None,None,None
80155051,2019-12-31 00:00:00,油田其他服务,元,人民币,1005763.63,None,None,19589.54,None,None,None
