公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率,
80124565,2019-06-30 00:00:00,运输劳务,千元,人民币,7922.36,None,None,None,None,None,None,
80124565,2019-06-30 00:00:00,房屋租赁,千元,人民币,2642.48,None,None,None,None,None,None,
80124565,2019-06-30 00:00:00,铁矿石生产业务,千元,人民币,679360.04,None,None,None,None,None,None,
80124565,2019-06-30 00:00:00,电力和气体,千元,人民币,14250.97,None,None,None,None,None,None,
80124565,2019-06-30 00:00:00,酒店餐饮,千元,人民币,1022.76,None,None,None,None,None,None,
80124565,2019-06-30 00:00:00,油气开采业务,千元,人民币,464620.71,None,None,None,None,None,None,
80124565,2019-06-30 00:00:00,建筑安装劳务,千元,人民币,1067.08,None,None,None,None,None,None,
80124565,2019-06-30 00:00:00,其他,千元,人民币,7980.95,None,None,None,None,None,None,
80124565,2019-06-30 00:00:00,铁矿石贸易业务,千元,人民币,1076004.55,None,None,None,None,None,None,
,,,,,,,,,,,,
