COMPANYCODE,公司代码
COMPANYNAME,机构全称
ITProfile1,机构简称
ITProfile2,英文全称
ITProfile3,英文简称
ITProfile4,机构类型代码
ITPROFILE46,机构类型
ITProfile5,是否分支机构
ITPROFILE44,是否上市
ITProfile6,法定代表人
ITProfile7,董事长
ITProfile8,总经理
ITProfile9,董事会秘书
ITProfile14,֤证券代表
ITProfile18,组织形式
ITProfile19,成立日期
ITProfile21,注册资本(万元)
ITPROFILE48,ְ职工人数
ITPROFILE50,经营规模
ITProfile22,注册地址
ITProfile32,经营范围
ITProfile33,主营业务
ITProfile40,公司状态
ITProfile41,机构级别
ITProfile42,国家
