ICode,行业代码
PublishDate,报表日期
DEPS,每股收益(摊薄)
AdjDEPS,每股收益(扣除非经常性损益)
SPS,每股销售收入
CDPS,每股现金红利
GPMargin,销售毛利率
NPMargin,销售净利率
EBITPMargin,息税前利润率
ROA,总资产收益率
PTROA,税前总资产收益率
DROE,净资产收益率
AdjDROE,净资产收益率(扣除非经常性损益)
REPS,每股未分配利润
CSPS,每股资本公积金
LDBL,流动比率
SDBL,速动比率
YSZKZZL,应收账款周转率
ZCFZL,资产负债率
MGXJLL,每股现金流
ZZCZZL,总资产周转率
MGJYXJL,每股经营性现金流
FJCXSYBL,非经常性损益比率
YSZKZZTS,应收账款周转天数
CHZZL,存货周转率
CHZZTS,存货周转天数
GDZCZZL,固定资产周转率
JZCZZL,净资产增长率
Dpayout,红利发放比率
RetRate,留存比率
BVPS,每股净资产
AdjBVPS,调整后的每股净资产
