1,ADR
2,A类普通股
3,A类普通股/B类普通股
4,B类普通股
5,B类普通股/优先股
6,不详
7,国家股
8,国家股/境内法人股
9,国家股/境内法人股/流通A股
10,国家股/境内法人股/流通A股/流通B股
11,国家股/境外法人股/流通A股
12,国家股/流通A股
13,国家股/流通H股
14,境内法人股
15,境内法人股/境外法人股
16,境内法人股/流通A股
17,境内法人股/其它未流通股
18,境外法人股
19,境外法人股/流通B股
20,流通A股
21,流通A股/流通B股
22,流通A股/流通H股
23,流通A股/流通S股
24,流通A股/其它未流通股
25,流通A股/限售流通A股
26,流通B股
27,流通B股/流通A股
28,流通B股/流通H股
29,流通B股/其它未流通股
30,流通D股
31,流通H股
32,流通H股/其它未流通股
33,流通S股
34,流通Ａ股
35,其他流通股
36,其它未流通股
37,其它未流通股/流通A股
38,优先股
