公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
80158552,2018-06-30 00:00:00,技术服务,元,人民币,175434531.54,None,None,96377010.81,None,None,None
80158552,2018-06-30 00:00:00,装备及备件销售,元,人民币,152526996.97,None,None,73702796.29,None,None,None
80158552,2018-06-30 00:00:00,其他(补充),元,人民币,13045084.76,None,None,7208326.42,None,None,None
80158552,2018-06-30 00:00:00,设备集成及材料销售,元,人民币,33650285.89,None,None,22161234.17,None,None,None
80158552,2018-06-30 00:00:00,贸易,元,人民币,451193812.81,None,None,433814201.0,None,None,None
