公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
80158552,2021-06-30 00:00:00,技术服务,元,人民币,44197822.49,None,None,50319941.6,None,None,None
80158552,2021-06-30 00:00:00,贸易,元,人民币,1213460.16,None,None,1151823.35,None,None,None
80158552,2021-06-30 00:00:00,其他（补充）,元,人民币,1417974.73,None,None,714665.56,None,None,None
80158552,2021-06-30 00:00:00,设备集成及材料销售,元,人民币,2160935.27,None,None,2079772.79,None,None,None
80158552,2021-06-30 00:00:00,油气资产,元,人民币,15521946.42,None,None,18647038.26,None,None,None
80158552,2021-06-30 00:00:00,装备及备件销售,元,人民币,166980310.63,None,None,129814157.6,None,None,None
