公司代码,行业代码,行业名称,指数编制方分类,是否使用,停用日期,市场代码,指数代码,指数名称
80336536,620000,建筑装饰,申万一级行业指数,-1,None,CNSE00,801720,申万建筑装饰指数
80336536,620400,专业工程,申万二级行业指数,-1,None,CNSE00,801724,申万专业工程指数
80336536,620404,其他专业工程,申万三级行业指数,-1,None,CNSE00,857244,申万其他专业工程指数
