公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001219,2018-12-31 00:00:00,其他(补充),元,人民币,6684700.51,None,None,4131479.27,None,None,None
10001219,2018-12-31 00:00:00,气井建造工程,元,人民币,843666960.81,None,None,504732777.88,None,None,None
10001219,2018-12-31 00:00:00,其他,元,人民币,19280287.88,None,None,20657142.6,None,None,None
10001219,2018-12-31 00:00:00,煤矿瓦斯治理,元,人民币,282025600.0,None,None,234738064.64,None,None,None
10001219,2018-12-31 00:00:00,煤层气销售,元,人民币,1181682011.25,None,None,675206072.52,None,None,None
