公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001219,2017-12-31 00:00:00,煤层气销售,元,人民币,1121074740.9,None,None,714618593.11,None,None,None
10001219,2017-12-31 00:00:00,煤层气运输,元,人民币,24023716.3,None,None,30317643.25,None,None,None
10001219,2017-12-31 00:00:00,煤矿瓦斯治理,元,人民币,282521600.0,None,None,204569720.25,None,None,None
10001219,2017-12-31 00:00:00,其他,元,人民币,6456630.62,None,None,4033741.99,None,None,None
10001219,2017-12-31 00:00:00,气井建造工程,元,人民币,469642803.72,None,None,302081362.85,None,None,None
