公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001257,2017-12-31 00:00:00,型钢,元,人民币,2702707767.75,None,None,2607646255.4,None,None,None
10001257,2017-12-31 00:00:00,焦炭,元,人民币,2871281388.97,None,None,2453176624.18,None,None,None
10001257,2017-12-31 00:00:00,焦化副产品,元,人民币,296987951.96,None,None,254845479.2,None,None,None
10001257,2017-12-31 00:00:00,电力,元,人民币,205213330.78,None,None,189254327.46,None,None,None
10001257,2017-12-31 00:00:00,其他（补充）,元,人民币,113495786.3,None,None,86097817.3,None,None,None
10001257,2017-12-31 00:00:00,其他,元,人民币,126455196.84,None,None,77971056.78,None,None,None
