日期,结算价
2019/10/25,56.66
2019/10/26,{}
2019/10/27,{}
2019/10/28,55.81
2019/10/29,55.54
2019/10/30,55.06
2019/10/31,54.18
2019/11/01,56.2
2019/11/02,{}
2019/11/03,{}
2019/11/04,56.54
2019/11/05,57.23
2019/11/06,56.35
2019/11/07,57.15
2019/11/08,57.24
2019/11/09,{}
2019/11/10,{}
2019/11/11,56.9
2019/11/12,56.85
2019/11/13,57.2
2019/11/14,56.88
2019/11/15,57.83
2019/11/16,{}
2019/11/17,{}
2019/11/18,57.14
2019/11/19,55.35
2019/11/20,57.01
2019/11/21,58.58
2019/11/22,57.77
2019/11/23,{}
2019/11/24,{}
2019/11/25,58.01
2019/11/26,58.41
2019/11/27,58.11
2019/11/28,{}
2019/11/29,55.17
2019/11/30,{}
2019/12/01,{}
2019/12/02,55.96
2019/12/03,56.1
2019/12/04,58.43
2019/12/05,58.43
2019/12/06,59.2
2019/12/07,{}
2019/12/08,{}
2019/12/09,59.02
2019/12/10,59.14
2019/12/11,58.65
2019/12/12,59.06
2019/12/13,59.98
2019/12/14,{}
2019/12/15,{}
2019/12/16,60.14
2019/12/17,60.87
2019/12/18,60.85
2019/12/19,61.18
2019/12/20,60.44
2019/12/21,{}
2019/12/22,{}
2019/12/23,60.52
2019/12/24,61.11
2019/12/25,{}
2019/12/26,61.68
2019/12/27,61.72
2019/12/28,{}
2019/12/29,{}
2019/12/30,61.68
2019/12/31,61.06
2020/01/01,{}
2020/01/02,61.18
2020/01/03,63.05
2020/01/04,{}
2020/01/05,{}
2020/01/06,63.27
2020/01/07,62.7
2020/01/08,59.61
2020/01/09,59.44
2020/01/10,58.99
2020/01/11,{}
2020/01/12,{}
2020/01/13,58.08
2020/01/14,58.26
2020/01/15,57.84
2020/01/16,58.53
2020/01/17,58.58
2020/01/18,{}
2020/01/19,{}
2020/01/20,{}
2020/01/21,58.38
2020/01/22,56.74
2020/01/23,55.59
2020/01/24,54.19
2020/01/25,{}
2020/01/26,{}
2020/01/27,53.14
2020/01/28,53.48
2020/01/29,53.33
2020/01/30,52.14
2020/01/31,51.56
2020/02/01,{}
2020/02/02,{}
2020/02/03,50.11
2020/02/04,49.61
2020/02/05,50.75
2020/02/06,50.95
2020/02/07,50.32
2020/02/08,{}
2020/02/09,{}
2020/02/10,49.57
2020/02/11,50.17
2020/02/12,51.41
2020/02/13,51.66
2020/02/14,52.32
2020/02/15,{}
2020/02/16,{}
2020/02/17,{}
2020/02/18,52.29
2020/02/19,53.49
2020/02/20,53.88
2020/02/21,53.38
2020/02/22,{}
2020/02/23,{}
2020/02/24,51.43
2020/02/25,49.9
2020/02/26,48.73
2020/02/27,47.09
2020/02/28,44.76
2020/02/29,{}
2020/03/01,{}
2020/03/02,46.75
2020/03/03,47.18
2020/03/04,46.78
2020/03/05,45.9
2020/03/06,41.28
2020/03/07,{}
2020/03/08,{}
2020/03/09,31.13
2020/03/10,34.73
2020/03/11,33.39
2020/03/12,31.98
2020/03/13,32.11
2020/03/14,{}
2020/03/15,{}
2020/03/16,29.0
2020/03/17,27.33
2020/03/18,20.83
2020/03/19,25.91
2020/03/20,22.63
2020/03/21,{}
2020/03/22,{}
2020/03/23,23.36
2020/03/24,24.01
2020/03/25,24.49
2020/03/26,22.6
2020/03/27,21.51
2020/03/28,{}
2020/03/29,{}
2020/03/30,20.09
2020/03/31,20.48
2020/04/01,20.31
2020/04/02,25.32
2020/04/03,28.34
2020/04/04,{}
2020/04/05,{}
2020/04/06,26.08
2020/04/07,23.63
2020/04/08,25.09
2020/04/09,28.82
2020/04/10,{}
2020/04/11,{}
2020/04/12,{}
2020/04/13,29.26
2020/04/14,27.4
2020/04/15,26.04
2020/04/16,25.53
2020/04/17,25.03
2020/04/18,{}
2020/04/19,{}
2020/04/20,20.43
2020/04/21,11.57
2020/04/22,13.78
2020/04/23,21.44
2020/04/24,21.22
2020/04/25,{}
2020/04/26,{}
2020/04/27,18.08
2020/04/28,17.6
2020/04/29,19.12
2020/04/30,21.85
2020/05/01,22.29
2020/05/02,{}
2020/05/03,{}
2020/05/04,22.78
2020/05/05,26.49
2020/05/06,25.62
2020/05/07,24.83
2020/05/08,26.17
2020/05/09,{}
2020/05/10,{}
2020/05/11,30.57
2020/05/12,30.6
2020/05/13,30.06
2020/05/14,31.11
2020/05/15,32.01
2020/05/16,{}
2020/05/17,{}
2020/05/18,34.07
2020/05/19,34.17
2020/05/20,35.23
2020/05/21,35.7
2020/05/22,34.14
2020/05/23,{}
2020/05/24,{}
2020/05/25,{}
2020/05/26,35.24
2020/05/27,33.69
2020/05/28,34.49
2020/05/29,36.2
2020/05/30,{}
2020/05/31,{}
2020/06/01,36.17
2020/06/02,37.35
2020/06/03,37.87
2020/06/04,38.0
2020/06/05,40.03
2020/06/06,{}
2020/06/07,{}
2020/06/08,38.65
2020/06/09,39.38
2020/06/10,39.97
2020/06/11,36.81
2020/06/12,37.42
2020/06/13,{}
2020/06/14,{}
2020/06/15,37.71
2020/06/16,38.87
2020/06/17,38.4
2020/06/18,39.63
2020/06/19,39.93
2020/06/20,{}
2020/06/21,{}
2020/06/22,40.73
2020/06/23,40.82
2020/06/24,38.21
2020/06/25,38.91
2020/06/26,38.65
2020/06/27,{}
2020/06/28,{}
2020/06/29,39.81
2020/06/30,39.34
2020/07/01,39.92
2020/07/02,40.76
2020/07/03,{}
2020/07/04,{}
2020/07/05,{}
2020/07/06,40.73
2020/07/07,40.7
2020/07/08,41.04
2020/07/09,39.83
2020/07/10,40.76
2020/07/11,{}
2020/07/12,{}
2020/07/13,40.32
2020/07/14,40.55
2020/07/15,41.4
2020/07/16,40.93
2020/07/17,40.75
2020/07/18,{}
2020/07/19,{}
2020/07/20,40.92
2020/07/21,41.92
2020/07/22,41.9
2020/07/23,41.07
2020/07/24,41.29
2020/07/25,{}
2020/07/26,{}
2020/07/27,41.6
2020/07/28,41.04
2020/07/29,41.27
