公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001186,2019-12-31 00:00:00,磁铁矿,元,人民币,4310068338.94,None,None,358412744.97,None,None,None
10001186,2019-12-31 00:00:00,铜,元,人民币,873347244.76,None,None,1242652387.28,None,None,None
10001186,2019-12-31 00:00:00,推土机,元,人民币,139283752.93,None,None,None,None,None,None
10001186,2019-12-31 00:00:00,阳极泥、硫酸等,元,人民币,46513594.54,None,None,None,None,None,None
10001186,2019-12-31 00:00:00,蛭石,元,人民币,331369452.15,None,None,None,None,None,None
10001186,2019-12-31 00:00:00,其他,元,人民币,99357190.66,None,None,None,None,None,None
10001186,2019-12-31 00:00:00,其他(补充),元,人民币,None,None,None,4236661.22,None,None,None
