ENDDATE,INDICATORCODE,DATAVALUE,
2020-03-24 00:00:00,1010020082,160.9,
2020-03-24 00:00:00,1010020093,168.84,
2020-03-24 00:00:00,1020870011,7837.0,
2020-03-24 00:00:00,1010020092,124.76,
2020-03-24 00:00:00,1085340045,24.5,
2020-03-24 00:00:00,1080010002,29.29,
2020-03-24 00:00:00,1320260098,519.8,
2020-03-24 00:00:00,1310200013,1254.5,
2020-03-24 00:00:00,1085340178,1475.0,
2020-03-24 00:00:00,1380041303,842.0,
2020-03-24 00:00:00,1330010092,11320.0,
2020-03-24 00:00:00,1380045540,695.0,
2020-03-24 00:00:00,1380044328,820.0,
2020-03-23 00:00:00,1010020079,127.2,
2020-03-23 00:00:00,1380041303,842.0,
2020-03-23 00:00:00,1010020089,238.46,
2020-03-23 00:00:00,1010020088,151.91,
2020-03-23 00:00:00,1010020082,160.9,
2020-03-23 00:00:00,1010020093,168.87,
2020-03-23 00:00:00,1010020092,125.32,
2020-03-23 00:00:00,1085340045,25.06,
2020-03-23 00:00:00,1080010002,29.0,
2020-03-23 00:00:00,1320260098,518.4,
2020-03-23 00:00:00,1310200013,1247.5,
2020-03-23 00:00:00,1085340178,1401.0,
2020-03-23 00:00:00,1330020574,169.3,
2020-03-23 00:00:00,1330010092,11320.0,
2020-03-23 00:00:00,1380045540,705.0,
2020-03-23 00:00:00,1380044328,825.0,
2020-03-23 00:00:00,1010020068,102.58,
2020-03-20 00:00:00,1010020079,129.8,
2020-03-20 00:00:00,1380041303,852.0,
2020-03-20 00:00:00,1010020089,238.48,
2020-03-20 00:00:00,1010020088,151.93,
2020-03-20 00:00:00,1010020082,160.9,
2020-03-20 00:00:00,1010020093,168.88,
2020-03-20 00:00:00,1010570001,11844.13,
2020-03-20 00:00:00,1010020092,125.35,
2020-03-20 00:00:00,1085340045,25.55,
2020-03-20 00:00:00,1085340038,1090327.0,
2020-03-20 00:00:00,1080010002,29.0,
2020-03-20 00:00:00,1320260098,527.4,
2020-03-20 00:00:00,1320270089,1213.69,
2020-03-20 00:00:00,1310200013,1263.5,
2020-03-20 00:00:00,1310300105,452.01,
2020-03-20 00:00:00,1310300106,671.56,
2020-03-20 00:00:00,1085340178,1443.0,
2020-03-20 00:00:00,1085340343,303940.0,
2020-03-20 00:00:00,1330021558,76.1,
2020-03-20 00:00:00,1330010092,11890.0,
2020-03-20 00:00:00,1330011367,940104.0,
2020-03-20 00:00:00,1380045540,705.0,
2020-03-20 00:00:00,1380044328,825.0,
2020-03-20 00:00:00,1010020068,103.19,
2020-03-19 00:00:00,1010020079,129.15,
2020-03-19 00:00:00,1380041303,852.0,
2020-03-19 00:00:00,1010020089,238.47,
2020-03-19 00:00:00,1010020088,151.94,
2020-03-19 00:00:00,1010020082,161.23,
2020-03-19 00:00:00,1010020093,169.15,
2020-03-19 00:00:00,1010020092,125.35,
2020-03-19 00:00:00,1085340045,23.98,
2020-03-19 00:00:00,1085340178,1381.0,
2020-03-19 00:00:00,1080010002,28.47,
2020-03-19 00:00:00,1320260098,528.4,
2020-03-19 00:00:00,1310200013,1266.0,
2020-03-19 00:00:00,1330020574,168.7,
2020-03-19 00:00:00,1380032973,2945.3,
2020-03-19 00:00:00,1330010092,11830.0,
2020-03-19 00:00:00,1380045540,730.0,
2020-03-19 00:00:00,1380044328,830.0,
2020-03-19 00:00:00,1010020068,103.03,
