公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001360,2020-06-30 00:00:00,分部间抵销,元,人民币,-5788580297.76,None,None,-6159996569.87,None,None,None
10001360,2020-06-30 00:00:00,煤化工分部,元,人民币,3898997937.36,None,None,3656982967.41,None,None,None
10001360,2020-06-30 00:00:00,煤炭分部,元,人民币,9048961163.26,None,None,5671227954.19,None,None,None
10001360,2020-06-30 00:00:00,其他,元,人民币,2326831097.8,None,None,1905661576.56,None,None,None
10001360,2020-06-30 00:00:00,商品贸易分部,元,人民币,15827703000.64,None,None,15663022100.02,None,None,None
