公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001360,2018-06-30 00:00:00,其他（补充）,元,人民币,5057163.44,None,None,7012750.84,None,None,None
10001360,2018-06-30 00:00:00,爆破工程分部,元,人民币,159363000.0,None,None,101877500.0,None,None,None
10001360,2018-06-30 00:00:00,销售分部,元,人民币,178903800.0,None,None,142616800.0,None,None,None
10001360,2018-06-30 00:00:00,生产分部,元,人民币,255166500.0,None,None,175328600.0,None,None,None
10001360,2018-06-30 00:00:00,分部间抵销,元,人民币,-145373000.0,None,None,-144806300.0,None,None,None
