公司代码,机构全称,机构简称,英文全称,英文简称,机构类型代码,机构类型,是否分支机构,是否上市,法定代表人,董事长,总经理,董事会秘书,֤证券代表,组织形式,成立日期,注册资本(万元),ְ职工人数,经营规模,注册地址,经营范围,主营业务,公司状态,机构级别,国家,,,
10001372,开滦能源化工股份有限公司,开滦股份,Kailuan Energy Chemical Co.,Ltd.,KEC,007004,其它,0,-1,彭余生,彭余生,卞立国,张嘉颖,王文超,001007,2001-06-30,158779.9851,0,None,河北省唐山市新华东道70号东楼,对能源化工的投资;煤炭批发;钢材、木材、建材、化工产品(不含化学危险品)、五金交电、其他机械设备、土产杂品、电线电缆的批发、零售、代储、代销;地方铁路运输(凭《铁路运营许可证》核定的范围在有效期内开展经营活动);以下限分支机构凭许可证在有效期内经营:煤炭开采;原煤洗选加工;矿井水的收集、处理与利用。(以上依法须经批准的项目,经相关部门批准后方可开展经营活动),煤炭及伴生资源开采;原煤洗选加工;煤炭产品经营销售;炼焦及其产品的生产、销售;煤化工产品的制造和销售。,1,0,CN,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
