公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001198,2017-06-30 00:00:00,化工,元,人民币,1259596749.32,None,None,1134991610.52,None,None,None
10001198,2017-06-30 00:00:00,其他,元,人民币,12301844.34,None,None,18766667.86,None,None,None
10001198,2017-06-30 00:00:00,煤炭,元,人民币,8606756317.55,None,None,6264949051.13,None,None,None
10001198,2017-06-30 00:00:00,建材,元,人民币,196946887.12,None,None,174728206.18,None,None,None
10001198,2017-06-30 00:00:00,电力,元,人民币,151304930.22,None,None,186932879.13,None,None,None
