公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
80180467,2020-12-31 00:00:00,大宗商品贸易,元,人民币,603721.04,None,None,-0.14,None,None,None
80180467,2020-12-31 00:00:00,其他,元,人民币,3286951.74,None,None,3753160.14,None,None,None
80180467,2020-12-31 00:00:00,新材料及石化产品销售,元,人民币,52448736.14,None,None,42562407.68,None,None,None
80180467,2020-12-31 00:00:00,油气田技术服务,元,人民币,51101888.19,None,None,43746594.33,None,None,None
80180467,2020-12-31 00:00:00,钻井工程服务,元,人民币,1132075.48,None,None,970901.51,None,None,None
