公司代码,行业代码,行业名称,指数编制方分类,是否使用,停用日期,市场代码,指数代码,指数名称
80145881,240000,有色金属,申万一级行业指数,-1,1900-01-01 00:00:00,CNSE00,801050,申万有色金属指数
80145881,240500,小金属,申万二级行业指数,-1,None,CNSE00,801054,申万小金属指数
80145881,240504,其他小金属,申万三级行业指数,-1,None,CNSE00,850544,申万其他小金属指数
