公司代码,机构全称,机构简称,英文全称,英文简称,机构类型代码,机构类型,是否分支机构,是否上市,法定代表人,董事长,总经理,董事会秘书,֤证券代表,组织形式,成立日期,注册资本(万元),ְ职工人数,经营规模,注册地址,经营范围,主营业务,公司状态,机构级别,国家,,,
10000708,洲际油气股份有限公司,洲际油气,Geo-jade Petroleum Corporation,Geo-Jade Petroleum,007004,其它,0,-1,陈焕龙,陈焕龙,戴小平,万巍,罗俊群,003001,1984-08-20,226350.7518,0,None,海南省海口市国贸大道2号海南时代广场17层,石油勘探开发和石油化工项目的投资及相关工程的技术开发、咨询、服务;石油化工产品、管道生产建设所需物资设备、器材的销售;炼油、石油化工产品的生产、销售和仓储业务(专项审批除外);油品贸易和进出口(国家限定经营和禁止进出口的除外);石油相关专业设备的研发、生产及销售(专项审批除外);能源基础产业投资、开发、经营;电力投资(国家限定和禁止的除外);新能源产品技术研发、生产、销售;股权投资;高新技术项目及产品的投资、开发、生产与经营;货物进出口(国家限定经营和禁止进出口的商品除外)、技术进出口、代理进出口;矿业投资开发;房屋租赁及物业管理。(一般经营项目自主经营,许可经营项目凭相关许可证或者批准文件经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)。,石油开采、房地产开发与销售、租赁及服务、贸易、矿业。,1,0,CN,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
