公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10000343,2021-06-30 00:00:00,电力生产,元,人民币,1134877732.71,None,None,929323643.87,None,None,None
10000343,2021-06-30 00:00:00,劳务收入,元,人民币,23781012.78,None,None,24021276.22,None,None,None
10000343,2021-06-30 00:00:00,铝产品,元,人民币,1000657514.98,None,None,982397201.63,None,None,None
10000343,2021-06-30 00:00:00,煤炭销售,元,人民币,2420595759.72,None,None,1616617413.82,None,None,None
10000343,2021-06-30 00:00:00,内部抵销,元,人民币,-332935660.89,None,None,-332935660.89,None,None,None
10000343,2021-06-30 00:00:00,其他,元,人民币,152245023.83,None,None,105867772.8,None,None,None
10000343,2021-06-30 00:00:00,其他(补充),元,人民币,21457940.38,None,None,101839361.15,None,None,None
10000343,2021-06-30 00:00:00,销售材料,元,人民币,815856.52,None,None,574352.52,None,None,None
10000343,2021-06-30 00:00:00,租金收入,元,人民币,39606699.39,None,None,7154515.09,None,None,None
