公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10000343,2018-12-31 00:00:00,煤炭采选,元,人民币,5652423860.09,None,None,3265116368.82,None,None,None
10000343,2018-12-31 00:00:00,电力生产,元,人民币,800914698.36,None,None,897586195.24,None,None,None
10000343,2018-12-31 00:00:00,内部抵销,元,人民币,-849376181.36,None,None,-834893045.12,None,None,None
10000343,2018-12-31 00:00:00,其他,元,人民币,329188888.22,None,None,361131736.88,None,None,None
10000343,2018-12-31 00:00:00,铝产品,元,人民币,708410276.79,None,None,765197850.5,None,None,None
10000343,2018-12-31 00:00:00,其他(补充),元,人民币,207636315.83,None,None,270491900.0,None,None,None
