公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10000343,2020-12-31 00:00:00,电力生产,元,人民币,1683971750.57,None,None,1539339580.75,None,None,None
10000343,2020-12-31 00:00:00,铝产品,元,人民币,1188518153.46,None,None,1221180614.9,None,None,None
10000343,2020-12-31 00:00:00,煤炭采选,元,人民币,4900020651.79,None,None,3214334696.96,None,None,None
10000343,2020-12-31 00:00:00,内部抵销,元,人民币,-623141458.92,None,None,-623141458.92,None,None,None
10000343,2020-12-31 00:00:00,其他,元,人民币,339808791.7,None,None,301241036.66,None,None,None
10000343,2020-12-31 00:00:00,其他（补充）,元,人民币,164943460.78,None,None,161421988.44,None,None,None
