enddate,infopubldate,companycode,secucode,basiceps ,
2020-12-31 00:00:00,2021-04-30 00:00:00,1692,600759,0.0772,
2020-09-30 00:00:00,2020-10-30 00:00:00,1692,600759,-0.0813,
2020-06-30 00:00:00,2020-08-31 00:00:00,1692,600759,-0.0715,
2020-03-31 00:00:00,2020-04-30 00:00:00,1692,600759,-0.0166,
2019-12-31 00:00:00,2020-06-30 00:00:00,1692,600759,0.0247,
2019-09-30 00:00:00,2019-10-31 00:00:00,1692,600759,0.0183,
2019-06-30 00:00:00,2019-08-28 00:00:00,1692,600759,0.0135,
2019-03-31 00:00:00,2019-04-30 00:00:00,1692,600759,0.003,
2018-12-31 00:00:00,2019-04-27 00:00:00,1692,600759,0.0308,
2018-09-30 00:00:00,2018-10-31 00:00:00,1692,600759,0.0523,
2018-06-30 00:00:00,2018-08-25 00:00:00,1692,600759,0.0252,
2018-03-31 00:00:00,2018-04-28 00:00:00,1692,600759,0.0178,
2017-12-31 00:00:00,2018-04-28 00:00:00,1692,600759,-0.1001,
2017-09-30 00:00:00,2017-10-28 00:00:00,1692,600759,-0.0179,
2017-06-30 00:00:00,2017-08-26 00:00:00,1692,600759,-0.0213,
2017-03-31 00:00:00,2017-04-28 00:00:00,1692,600759,0.0056,
2021-12-31 00:00:00,2022-04-23 00:00:00,1850,600997,1.14,
2021-09-30 00:00:00,2021-10-30 00:00:00,1850,600997,1.01,
2021-06-30 00:00:00,2021-08-28 00:00:00,1850,600997,0.71,
2021-03-31 00:00:00,2021-04-27 00:00:00,1850,600997,0.38,
2020-12-31 00:00:00,2021-03-27 00:00:00,1850,600997,0.68,
2020-09-30 00:00:00,2020-10-31 00:00:00,1850,600997,0.51,
2020-06-30 00:00:00,2020-08-29 00:00:00,1850,600997,0.35,
2020-03-31 00:00:00,2020-04-30 00:00:00,1850,600997,0.2,
2019-12-31 00:00:00,2020-04-10 00:00:00,1850,600997,0.72,
2019-09-30 00:00:00,2019-10-30 00:00:00,1850,600997,0.64,
2019-06-30 00:00:00,2019-08-29 00:00:00,1850,600997,0.46,
2019-03-31 00:00:00,2019-04-26 00:00:00,1850,600997,0.23,
2018-12-31 00:00:00,2019-03-30 00:00:00,1850,600997,0.86,
2018-09-30 00:00:00,2018-10-31 00:00:00,1850,600997,0.62,
2018-06-30 00:00:00,2018-08-31 00:00:00,1850,600997,0.37,
2018-03-31 00:00:00,2018-04-26 00:00:00,1850,600997,0.16,
2017-12-31 00:00:00,2018-03-17 00:00:00,1850,600997,0.33,
2017-09-30 00:00:00,2017-10-28 00:00:00,1850,600997,0.21,
2017-06-30 00:00:00,2017-08-31 00:00:00,1850,600997,0.15,
2017-03-31 00:00:00,2017-04-28 00:00:00,1850,600997,0.1,
2021-12-31 00:00:00,2022-04-26 00:00:00,82565,601011,0.09,
2021-09-30 00:00:00,2021-10-26 00:00:00,82565,601011,0.08,
2021-06-30 00:00:00,2021-08-24 00:00:00,82565,601011,0.05,
2021-03-31 00:00:00,2021-04-27 00:00:00,82565,601011,0.027,
2020-12-31 00:00:00,2021-04-27 00:00:00,82565,601011,0.03,
2020-09-30 00:00:00,2020-10-27 00:00:00,82565,601011,0.01,
2020-06-30 00:00:00,2020-08-25 00:00:00,82565,601011,0.01,
2020-03-31 00:00:00,2020-04-28 00:00:00,82565,601011,0.004,
2019-12-31 00:00:00,2020-04-28 00:00:00,82565,601011,0.04,
2019-09-30 00:00:00,2019-10-29 00:00:00,82565,601011,0.04,
2019-06-30 00:00:00,2019-08-27 00:00:00,82565,601011,0.06,
2019-03-31 00:00:00,2019-04-27 00:00:00,82565,601011,0.049,
2018-12-31 00:00:00,2019-03-26 00:00:00,82565,601011,0.21,
2018-09-30 00:00:00,2018-10-30 00:00:00,82565,601011,0.17,
2018-06-30 00:00:00,2018-08-28 00:00:00,82565,601011,0.1,
2018-03-31 00:00:00,2018-04-26 00:00:00,82565,601011,0.038,
2017-12-31 00:00:00,2018-04-03 00:00:00,82565,601011,0.11,
2017-09-30 00:00:00,2017-10-27 00:00:00,82565,601011,None,
2017-06-30 00:00:00,2017-08-29 00:00:00,82565,601011,0.04,
2017-03-31 00:00:00,2017-04-29 00:00:00,82565,601011,0.0159,
2021-12-31 00:00:00,2022-04-01 00:00:00,2148,601857,0.5,
2021-09-30 00:00:00,2021-10-29 00:00:00,2148,601857,0.41,
2021-06-30 00:00:00,2021-08-27 00:00:00,2148,601857,0.29,
2021-03-31 00:00:00,2021-04-30 00:00:00,2148,601857,0.151,
2020-12-31 00:00:00,2021-03-26 00:00:00,2148,601857,0.1,
2020-09-30 00:00:00,2020-10-30 00:00:00,2148,601857,0.055,
2020-06-30 00:00:00,2020-08-28 00:00:00,2148,601857,-0.164,
2020-03-31 00:00:00,2020-04-30 00:00:00,2148,601857,-0.089,
2019-12-31 00:00:00,2020-03-27 00:00:00,2148,601857,0.25,
2019-09-30 00:00:00,2019-10-31 00:00:00,2148,601857,0.204,
2019-06-30 00:00:00,2019-08-30 00:00:00,2148,601857,0.155,
2019-03-31 00:00:00,2019-04-30 00:00:00,2148,601857,0.056,
2018-12-31 00:00:00,2019-03-22 00:00:00,2148,601857,0.29,
2018-09-30 00:00:00,2018-10-31 00:00:00,2148,601857,0.263,
2018-06-30 00:00:00,2018-08-31 00:00:00,2148,601857,0.148,
2018-03-31 00:00:00,2018-04-28 00:00:00,2148,601857,0.06,
2017-12-31 00:00:00,2018-03-23 00:00:00,2148,601857,0.12,
2017-09-30 00:00:00,2017-10-31 00:00:00,2148,601857,0.09,
2017-06-30 00:00:00,2017-08-25 00:00:00,2148,601857,0.069,
2017-03-31 00:00:00,2017-04-28 00:00:00,2148,601857,0.03,
2021-12-31 00:00:00,2022-03-25 00:00:00,23394,601898,1.0,
2021-09-30 00:00:00,2021-11-10 00:00:00,23394,601898,0.89,
2021-09-30 00:00:00,2021-10-28 00:00:00,23394,601898,0.89,
2021-06-30 00:00:00,2021-08-26 00:00:00,23394,601898,0.57,
2021-03-31 00:00:00,2021-04-23 00:00:00,23394,601898,0.26,
2020-12-31 00:00:00,2021-03-25 00:00:00,23394,601898,0.45,
2020-09-30 00:00:00,2020-10-29 00:00:00,23394,601898,0.31,
2020-06-30 00:00:00,2020-08-29 00:00:00,23394,601898,0.17,
2020-03-31 00:00:00,2020-04-29 00:00:00,23394,601898,0.05,
2019-12-31 00:00:00,2020-03-21 00:00:00,23394,601898,0.42,
2019-09-30 00:00:00,2019-10-29 00:00:00,23394,601898,0.43,
2019-06-30 00:00:00,2019-08-24 00:00:00,23394,601898,0.29,
2019-03-31 00:00:00,2019-04-24 00:00:00,23394,601898,0.116,
2018-12-31 00:00:00,2019-03-16 00:00:00,23394,601898,0.26,
2018-09-30 00:00:00,2018-10-24 00:00:00,23394,601898,0.31,
2018-06-30 00:00:00,2018-08-22 00:00:00,23394,601898,0.21,
2018-03-31 00:00:00,2018-04-28 00:00:00,23394,601898,0.11,
2017-12-31 00:00:00,2018-03-21 00:00:00,23394,601898,0.18,
2017-09-30 00:00:00,2017-10-28 00:00:00,23394,601898,0.18,
2017-06-30 00:00:00,2017-08-24 00:00:00,23394,601898,0.13,
2017-03-31 00:00:00,2017-04-28 00:00:00,23394,601898,0.088,
2021-12-31 00:00:00,2022-03-23 00:00:00,170452,601969,0.44,
2021-09-30 00:00:00,2021-10-30 00:00:00,170452,601969,0.5,
2021-06-30 00:00:00,2021-08-24 00:00:00,170452,601969,0.3,
2021-03-31 00:00:00,2021-04-30 00:00:00,170452,601969,0.1,
2020-12-31 00:00:00,2021-03-26 00:00:00,170452,601969,0.07,
2020-09-30 00:00:00,2020-10-30 00:00:00,170452,601969,0.03,
2020-06-30 00:00:00,2020-08-25 00:00:00,170452,601969,0.01,
2020-03-31 00:00:00,2020-04-30 00:00:00,170452,601969,0.002,
2019-12-31 00:00:00,2020-03-27 00:00:00,170452,601969,0.07,
2019-09-30 00:00:00,2019-10-30 00:00:00,170452,601969,0.06,
2019-06-30 00:00:00,2019-08-24 00:00:00,170452,601969,0.02,
2019-03-31 00:00:00,2019-04-20 00:00:00,170452,601969,0.017,
2018-12-31 00:00:00,2019-03-22 00:00:00,170452,601969,-0.39,
2018-09-30 00:00:00,2018-10-29 00:00:00,170452,601969,-0.27,
2018-06-30 00:00:00,2018-08-25 00:00:00,170452,601969,-0.11,
2018-03-31 00:00:00,2018-04-28 00:00:00,170452,601969,-0.056,
2017-12-31 00:00:00,2018-03-24 00:00:00,170452,601969,0.02,
2017-09-30 00:00:00,2017-10-28 00:00:00,170452,601969,0.017,
2017-06-30 00:00:00,2017-08-31 00:00:00,170452,601969,0.016,
2017-03-31 00:00:00,2017-04-26 00:00:00,170452,601969,0.026,
,,,,,
