CNSESZ,000552,10000894
CNSESZ,000629,10000963
CNSESZ,000655,10000977
CNSESZ,000723,10001039
CNSESZ,000762,10001066
CNSESZ,000780,10001079
CNSESZ,000833,10001125
CNSESZ,000923,10001186
CNSESZ,000937,10001198
CNSESZ,000968,10001219
CNSESZ,000983,10001233
CNSESZ,001203,80198873
CNSESZ,002128,80094865
CNSESZ,002207,80091162
CNSESZ,002554,80155180
CNSESZ,002629,80180467
CNSESZ,002828,80381706
CNSESZ,002978,80145881
CNSESZ,300157,80158552
CNSESZ,300164,80155051
CNSESZ,300191,80161170
CNSESH,600121,10000093
CNSESH,600123,10000095
CNSESH,600188,10000149
CNSESH,600295,10000570
CNSESH,600339,10000277
CNSESH,600348,10001297
CNSESH,600395,10000315
CNSESH,600397,10000317
CNSESH,600403,10001309
CNSESH,600408,10001257
CNSESH,600508,10000343
CNSESH,600532,10000361
CNSESH,600546,10001291
CNSESH,600583,10000392
CNSESH,600725,10000532
CNSESH,600740,10000547
CNSESH,600758,10000707
CNSESH,600759,10000708
CNSESH,600777,10000726
CNSESH,600792,10000741
CNSESH,600871,10000820
CNSESH,600968,80106141
CNSESH,600971,10001425
CNSESH,600985,10001360
CNSESH,600997,10001372
CNSESH,601001,80077575
CNSESH,601011,80168888
CNSESH,601015,80084052
CNSESH,601088,80021896
CNSESH,601101,80088502
CNSESH,601225,80139859
CNSESH,601666,80080360
CNSESH,601699,80080212
CNSESH,601808,80071741
CNSESH,601857,80010371
CNSESH,601898,80083409
CNSESH,601918,80084082
CNSESH,601969,80124565
CNSESH,603113,80204276
CNSESH,603505,80400104
CNSESH,603619,80279695
CNSESH,603727,80400109
CNSESH,603979,80336536
CNSESH,605086,80371090
