enddate,infopubldate,companycode,secucode,totalshares,
2019-12-31 00:00:00,2020-03-31 00:00:00,267,000629,8589746202,
2019-12-31 00:00:00,2020-04-23 00:00:00,1188,600188,4912016000,
2019-12-31 00:00:00,2020-04-10 00:00:00,1850,600997,1587799851,
2019-11-22 00:00:00,2019-11-19 00:00:00,82565,601011,1610934597,
2019-10-11 00:00:00,2019-10-09 00:00:00,82565,601011,1610934597,
2019-06-30 00:00:00,2019-08-30 00:00:00,157839,002629,411948000,
2019-06-30 00:00:00,2019-08-24 00:00:00,281,000655,595340230,
2019-06-30 00:00:00,2019-08-27 00:00:00,82565,601011,1610979597,
2019-06-30 00:00:00,2019-08-08 00:00:00,267,000629,8589746202,
2019-06-30 00:00:00,2019-08-29 00:00:00,1850,600997,1587799851,
2019-06-30 00:00:00,2019-08-28 00:00:00,1692,600759,2263507518,
2019-06-30 00:00:00,2019-08-31 00:00:00,1188,600188,4912016000,
2019-06-30 00:00:00,2019-08-30 00:00:00,2148,601857,183020977818,
2019-06-30 00:00:00,2019-08-24 00:00:00,170452,601969,1954720314,
2019-06-30 00:00:00,2019-08-24 00:00:00,23394,601898,13258663400,
2018-12-31 00:00:00,2019-04-29 00:00:00,157839,002629,411948000,
2018-12-31 00:00:00,2019-03-22 00:00:00,2148,601857,183020977818,
2018-12-31 00:00:00,2019-03-30 00:00:00,1850,600997,1587799851,
2018-12-31 00:00:00,2019-03-30 00:00:00,1188,600188,4912016000,
2018-12-31 00:00:00,2019-03-26 00:00:00,82565,601011,1610979597,
2018-12-31 00:00:00,2019-03-26 00:00:00,267,000629,8589746202,
2018-12-31 00:00:00,2019-03-16 00:00:00,23394,601898,13258663400,
2018-12-31 00:00:00,2019-03-22 00:00:00,170452,601969,1954720314,
2018-12-31 00:00:00,2019-04-27 00:00:00,1692,600759,2263507518,
2018-12-31 00:00:00,2019-03-23 00:00:00,281,000655,595340230,
2018-11-09 00:00:00,2018-11-03 00:00:00,82565,601011,1610979597,
2018-10-19 00:00:00,2018-10-19 00:00:00,82565,601011,1610979597,
2018-09-07 00:00:00,2018-09-04 00:00:00,82565,601011,1611150597,
2018-06-30 00:00:00,2018-08-28 00:00:00,82565,601011,1611150597,
2018-06-30 00:00:00,2018-08-23 00:00:00,267,000629,8589746202,
2018-06-30 00:00:00,2018-08-22 00:00:00,23394,601898,13258663400,
2018-06-30 00:00:00,2018-08-31 00:00:00,1850,600997,1587799851,
2018-06-30 00:00:00,2018-08-25 00:00:00,1692,600759,2263507518,
2018-06-30 00:00:00,2018-08-25 00:00:00,1188,600188,4912016000,
2018-06-30 00:00:00,2018-08-31 00:00:00,2148,601857,183020977818,
2018-06-30 00:00:00,2018-08-25 00:00:00,170452,601969,1954720314,
2018-06-30 00:00:00,2018-08-30 00:00:00,157839,002629,411948000,
2018-06-30 00:00:00,2018-08-25 00:00:00,281,000655,595340230,
2018-02-09 00:00:00,2018-01-31 00:00:00,170452,601969,1954720314,
2018-02-06 00:00:00,2018-01-31 00:00:00,82565,601011,1611150597,
2017-12-31 00:00:00,2018-04-12 00:00:00,281,000655,595340230,
2017-12-31 00:00:00,2018-03-24 00:00:00,170452,601969,1954720314,
2017-12-31 00:00:00,2018-04-03 00:00:00,82565,601011,1611150597,
2017-12-31 00:00:00,2018-04-28 00:00:00,1692,600759,2263507518,
2017-12-31 00:00:00,2018-04-27 00:00:00,157839,002629,411948000,
2017-12-31 00:00:00,2018-03-20 00:00:00,267,000629,8589746202,
2017-12-31 00:00:00,2018-03-23 00:00:00,2148,601857,183020977818,
2017-12-31 00:00:00,2018-03-21 00:00:00,23394,601898,13258663400,
2017-12-31 00:00:00,2018-03-17 00:00:00,1850,600997,1587799851,
2017-12-31 00:00:00,2018-03-24 00:00:00,1188,600188,4912016000,
2017-12-19 00:00:00,2017-12-13 00:00:00,1692,600759,2263507518,
2017-12-11 00:00:00,2017-12-05 00:00:00,170452,601969,1954720314,
2017-11-09 00:00:00,2017-11-11 00:00:00,82565,601011,1611150597,
2017-09-07 00:00:00,2017-09-09 00:00:00,82565,601011,1591380597,
2017-06-30 00:00:00,2017-08-29 00:00:00,82565,601011,1367500000,
2017-06-30 00:00:00,2017-08-15 00:00:00,267,000629,8589746202,
2017-06-30 00:00:00,2017-08-24 00:00:00,23394,601898,13258663400,
2017-06-30 00:00:00,2017-08-31 00:00:00,1850,600997,1587799851,
2017-06-30 00:00:00,2017-08-26 00:00:00,1692,600759,2263507518,
2017-06-30 00:00:00,2017-08-28 00:00:00,1188,600188,4912016000,
2017-06-30 00:00:00,2017-08-25 00:00:00,2148,601857,183020977818,
2017-06-30 00:00:00,2017-08-31 00:00:00,170452,601969,1954720314,
2017-06-30 00:00:00,2017-08-18 00:00:00,157839,002629,411948000,
2017-06-30 00:00:00,2017-08-26 00:00:00,281,000655,595340230,
2017-02-09 00:00:00,2017-02-11 00:00:00,170452,601969,1954720314,
2017-02-09 00:00:00,2017-02-11 00:00:00,1850,600997,1587799851,
2017-01-21 00:00:00,2017-01-21 00:00:00,157839,002629,411948000,
2016-12-31 00:00:00,2017-03-31 00:00:00,2148,601857,183020977818,
2016-12-31 00:00:00,2017-04-25 00:00:00,82565,601011,1367500000,
2016-12-31 00:00:00,2017-04-01 00:00:00,1188,600188,4912016000,
2016-12-31 00:00:00,2017-03-18 00:00:00,281,000655,595340230,
2016-12-31 00:00:00,2017-03-28 00:00:00,170452,601969,1866670000,
2016-12-31 00:00:00,2017-04-28 00:00:00,1850,600997,1234640000,
2016-12-31 00:00:00,2017-03-23 00:00:00,23394,601898,13258663400,
