公司代码,行业代码,行业名称,指数编制方分类,是否使用,停用日期,市场代码,指数代码,指数名称
10001066,240000,有色金属,申万一级行业指数,-1,1900-01-01 00:00:00,CNSE00,801050,申万有色金属指数
10001066,240600,能源金属,申万二级行业指数,-1,None,CNSE00,801056,申万能源金属指数
10001066,240603,锂,申万三级行业指数,-1,None,CNSE00,850543,申万锂指数
