公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
80168888,2018-12-31 00:00:00,其他（补充）,元,人民币,27832832.42,None,None,23413243.91,None,None,None
80168888,2018-12-31 00:00:00,电,元,人民币,24246651.38,None,None,18509094.64,None,None,None
80168888,2018-12-31 00:00:00,其他,元,人民币,111315509.04,None,None,70359500.02,None,None,None
80168888,2018-12-31 00:00:00,焦炭(含焦粉、焦粒),元,人民币,2628749836.36,None,None,2097612267.89,None,None,None
80168888,2018-12-31 00:00:00,精制洗油及沥青调和组分,元,人民币,163586128.02,None,None,56741674.81,None,None,None
80168888,2018-12-31 00:00:00,针状焦系列产品,元,人民币,108193828.77,None,None,29996034.5,None,None,None
80168888,2018-12-31 00:00:00,沫煤,元,人民币,187056163.77,None,None,162532048.98,None,None,None
80168888,2018-12-31 00:00:00,甲醇,元,人民币,223670484.67,None,None,62173576.58,None,None,None
80168888,2018-12-31 00:00:00,供热,元,人民币,85229878.23,None,None,74713864.96,None,None,None
