公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率,
80168888,2019-12-31 00:00:00,燃料油及沥青调和组分,元,人民币,187260270.43,None,None,71438689.59,None,None,None,
80168888,2019-12-31 00:00:00,针状焦系列,元,人民币,123487474.02,None,None,38227651.47,None,None,None,
80168888,2019-12-31 00:00:00,沫煤,元,人民币,8796248.68,None,None,10402818.72,None,None,None,
80168888,2019-12-31 00:00:00,电力,元,人民币,35746570.02,None,None,24631404.68,None,None,None,
80168888,2019-12-31 00:00:00,甲醇,元,人民币,187564079.41,None,None,85607530.54,None,None,None,
80168888,2019-12-31 00:00:00,供热,元,人民币,92421351.5,None,None,86215628.13,None,None,None,
80168888,2019-12-31 00:00:00,其他（补充）,元,人民币,10856521.32,None,None,8656250.3,None,None,None,
80168888,2019-12-31 00:00:00,其他,元,人民币,88896107.46,None,None,60537419.5,None,None,None,
80168888,2019-12-31 00:00:00,焦炭,元,人民币,1990494583.83,None,None,1925474131.05,None,None,None,
,,,,,,,,,,,,
