公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
80080212,2021-06-30 00:00:00,焦化,元,人民币,2281548099.6,None,None,1596563877.99,None,None,None
80080212,2021-06-30 00:00:00,煤炭,元,人民币,15189709704.08,None,None,8116562994.66,None,None,None
80080212,2021-06-30 00:00:00,其他（补充）,元,人民币,265711824.71,None,None,222231564.89,None,None,None
