公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001233,2020-12-31 00:00:00,电力热力,元,人民币,5781284512.59,None,None,5486747413.71,None,None,None
10001233,2020-12-31 00:00:00,建筑建材,元,人民币,584010554.01,None,None,496996464.38,None,None,None
10001233,2020-12-31 00:00:00,焦炭,元,人民币,7374155727.37,None,None,6941782657.58,None,None,None
10001233,2020-12-31 00:00:00,焦油,元,人民币,253430753.35,None,None,244517652.07,None,None,None
10001233,2020-12-31 00:00:00,煤炭,元,人民币,17730109580.71,None,None,9852564198.33,None,None,None
10001233,2020-12-31 00:00:00,其他,元,人民币,948393583.88,None,None,825421826.06,None,None,None
10001233,2020-12-31 00:00:00,其他化工产品及副产品,元,人民币,1085197621.38,None,None,1049989043.82,None,None,None
