公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001233,2017-12-31 00:00:00,焦炭,元,人民币,7043200959.93,None,None,6629112870.5,None,None,None
10001233,2017-12-31 00:00:00,煤炭,元,人民币,15814740216.26,None,None,6700896591.38,None,None,None
10001233,2017-12-31 00:00:00,煤气,元,人民币,510507743.7,None,None,523861281.56,None,None,None
10001233,2017-12-31 00:00:00,其他主营收入,元,人民币,751398630.91,None,None,722228743.16,None,None,None
10001233,2017-12-31 00:00:00,其他化工产品及副产品,元,人民币,429895299.05,None,None,434351963.52,None,None,None
10001233,2017-12-31 00:00:00,焦油,元,人民币,264725105.31,None,None,245672660.0,None,None,None
10001233,2017-12-31 00:00:00,其他（补充）,元,人民币,558452374.53,None,None,324467996.71,None,None,None
10001233,2017-12-31 00:00:00,电力热力,元,人民币,3282353380.93,None,None,3488860069.11,None,None,None
