公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10000741,2021-12-31 00:00:00,化工产品,元,人民币,317247210.03,None,None,505628168.66,None,None,None
10000741,2021-12-31 00:00:00,焦炭,元,人民币,5073019441.3,None,None,4378939482.41,None,None,None
10000741,2021-12-31 00:00:00,贸易,元,人民币,89247372.01,None,None,88071009.28,None,None,None
10000741,2021-12-31 00:00:00,煤气,元,人民币,173964273.73,None,None,468803983.7,None,None,None
10000741,2021-12-31 00:00:00,其他（补充）,元,人民币,43228083.12,None,None,8612673.78,None,None,None
10000741,2021-12-31 00:00:00,燃气工程,元,人民币,15226913.88,None,None,7987107.2,None,None,None
10000741,2021-12-31 00:00:00,设备制造业,元,人民币,388614544.33,None,None,331762837.22,None,None,None
10000741,2021-12-31 00:00:00,原煤,元,人民币,638165.85,None,None,637754.96,None,None,None
