公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率,
80010371,2019-12-31 00:00:00,勘探与生产,百万,人民币,654225.0,None,None,465969.0,None,None,None,
80010371,2019-12-31 00:00:00,天然气与管道,百万,人民币,384438.0,None,None,353235.0,None,None,None,
80010371,2019-12-31 00:00:00,其他(补充),百万,人民币,58210.0,None,None,60674.0,None,None,None,
80010371,2019-12-31 00:00:00,板块间抵销数,百万,人民币,-1617612.0,None,None,-1617582.0,None,None,None,
80010371,2019-12-31 00:00:00,销售,百万,人民币,2141910.0,None,None,2083646.0,None,None,None,
80010371,2019-12-31 00:00:00,炼油与化工,百万,人民币,895160.0,None,None,656179.0,None,None,None,
80010371,2019-12-31 00:00:00,总部及其他,百万,人民币,479.0,None,None,282.0,None,None,None,
,,,,,,,,,,,,
