公司代码,行业代码,行业名称,指数编制方分类,是否使用,停用日期,市场代码,指数代码,指数名称
10001360,740000,煤炭,申万一级行业指数,-1,None,CNSE00,801950,申万煤炭指数
10001360,740100,煤炭开采,申万二级行业指数,-1,None,CNSE00,801951,申万煤炭开采指数
10001360,740102,焦煤,申万三级行业指数,-1,None,CNSE00,859512,申万焦煤指数
