公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001297,2018-06-30 00:00:00,洗块煤,元,人民币,1445694548.56,None,None,1158571363.21,None,None,None
10001297,2018-06-30 00:00:00,煤泥,元,人民币,220391166.26,None,None,None,None,None,None
10001297,2018-06-30 00:00:00,洗末煤,元,人民币,12714743117.15,None,None,11075161237.4,None,None,None
10001297,2018-06-30 00:00:00,洗粉煤,元,人民币,1479084713.03,None,None,1038502708.23,None,None,None
10001297,2018-06-30 00:00:00,其他（补充）,元,人民币,845432789.28,None,None,564194694.37,None,None,None
10001297,2018-06-30 00:00:00,供电,元,人民币,82528007.42,None,None,90767877.91,None,None,None
10001297,2018-06-30 00:00:00,供热,元,人民币,29415931.09,None,None,25275167.66,None,None,None
