公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001297,2018-12-31 00:00:00,洗末煤,元,人民币,24619709202.03,None,None,20596395652.79,None,None,None
10001297,2018-12-31 00:00:00,供热,元,人民币,32138516.59,None,None,25783321.13,None,None,None
10001297,2018-12-31 00:00:00,煤泥,元,人民币,409855964.07,None,None,None,None,None,None
10001297,2018-12-31 00:00:00,其他（补充）,元,人民币,1350888677.9,None,None,1235783798.12,None,None,None
10001297,2018-12-31 00:00:00,洗块煤,元,人民币,3041578796.86,None,None,2428746247.34,None,None,None
10001297,2018-12-31 00:00:00,洗粉煤,元,人民币,3077221669.93,None,None,2143489026.42,None,None,None
10001297,2018-12-31 00:00:00,供电,元,人民币,152319384.52,None,None,120834636.84,None,None,None
