数据年月,商品名称,贸易伙伴名称,第一数量,人民币
202206,铁矿石,塞拉利昂,-,"382,014,500"
202206,铁矿石,南非,-,"4,127,804,230"
202206,铁矿石,瑞典,-,"214,773,463"
202206,铁矿石,俄罗斯联邦,-,"519,242,997"
202206,铁矿石,乌克兰,-,"203,196,722"
202206,铁矿石,巴西,-,"13,416,843,371"
202206,铁矿石,智利,-,"1,192,106,374"
202206,铁矿石,墨西哥,-,"144,757,211"
202206,铁矿石,秘鲁,-,"1,580,912,579"
202206,铁矿石,委内瑞拉,-,"102,722,250"
202206,铁矿石,加拿大,-,"1,440,599,576"
202206,铁矿石,美国,-,"163,635,584"
202206,铁矿石,澳大利亚,-,"52,396,964,350"
202206,铁矿石,新西兰,-,"96,302,282"
202206,铜精矿,印度,-,"1,952,438"
202206,铜精矿,印度尼西亚,-,"212,328,650"
202206,铜精矿,老挝,-,"504,056,720"
202206,铜精矿,蒙古,-,"1,762,653,438"
202206,铜精矿,巴基斯坦,-,"21,719,603"
202206,铜精矿,菲律宾,-,"143,297,299"
202206,铜精矿,沙特阿拉伯,-,"372,398,997"
202206,铜精矿,泰国,-,"1,614,266"
202206,铜精矿,土耳其,-,"129,282,803"
202206,铜精矿,越南,-,"11,234,145"
202206,铜精矿,哈萨克斯坦,-,"985,978,110"
202206,铜精矿,博茨瓦纳,-,"157,004,830"
202206,铜精矿,刚果(布),-,"1,453,882"
202206,铜精矿,肯尼亚,-,"1,507,847"
202206,铜精矿,马达加斯加,-,"678,510"
202206,铜精矿,毛里塔尼亚,-,"129,093,062"
202206,铜精矿,摩洛哥,-,"49,517,371"
202206,铜精矿,纳米比亚,-,"86,069"
202206,铜精矿,南非,-,923
202206,铜精矿,坦桑尼亚,-,"1,144,511"
202206,铜精矿,刚果(金),-,"947,870,785"
202206,铜精矿,赞比亚,-,"18,127,350"
202206,铜精矿,厄立特里亚,-,"119,416,746"
202206,铜精矿,西班牙,-,"497,810,206"
202206,铜精矿,阿尔巴尼亚,-,"22,673,228"
202206,铜精矿,罗马尼亚,-,"65,120,959"
202206,铜精矿,格鲁吉亚,-,"168,139,882"
202206,铜精矿,亚美尼亚,-,"1,120,549,924"
202206,铜精矿,俄罗斯联邦,-,"780,983,795"
202206,铜精矿,塞尔维亚,-,"620,495,914"
202206,铜精矿,多民族玻利维亚国,-,"869,638"
202206,铜精矿,巴西,-,"23,806,494"
202206,铜精矿,智利,-,"11,234,305,640"
202206,铜精矿,厄瓜多尔,-,"579,649,352"
202206,铜精矿,墨西哥,-,"566,621,984"
202206,铜精矿,巴拿马,-,"951,707,827"
202206,铜精矿,秘鲁,-,"10,395,294,637"
202206,铜精矿,加拿大,-,"180,035,181"
202206,铜精矿,美国,-,"1,060,362,735"
202206,聚乙烯,缅甸,-,"2,163,129"
202206,聚乙烯,柬埔寨,-,"834,810"
202206,聚乙烯,中国香港,-,"8,794,154"
202206,聚乙烯,印度,-,"37,354,400"
202206,聚乙烯,印度尼西亚,-,"56,985,292"
202206,聚乙烯,伊朗,-,"1,605,184,825"
202206,聚乙烯,以色列,-,"6,345,989"
202206,聚乙烯,日本,-,"369,694,433"
202206,聚乙烯,科威特,-,"106,775,485"
202206,聚乙烯,老挝,-,"1,219,221"
202206,聚乙烯,中国澳门,-,"56,359"
202206,聚乙烯,马来西亚,-,"225,836,657"
202206,聚乙烯,阿曼,-,"114,644,401"
202206,聚乙烯,巴基斯坦,-,"1,168,679"
202206,聚乙烯,菲律宾,-,"620,379"
202206,聚乙烯,卡塔尔,-,"518,671,699"
202206,聚乙烯,沙特阿拉伯,-,"1,696,546,923"
202206,聚乙烯,新加坡,-,"945,061,241"
202206,聚乙烯,韩国,-,"2,432,225,827"
202206,聚乙烯,斯里兰卡,-,"654,052"
202206,聚乙烯,泰国,-,"1,202,162,247"
202206,聚乙烯,土耳其,-,"99,974"
202206,聚乙烯,阿联酋,-,"1,275,737,101"
202206,聚乙烯,越南,-,"38,246,017"
202206,聚乙烯,中国,-,"365,028"
202206,聚乙烯,中国台湾,-,"558,822,464"
202206,聚乙烯,土库曼斯坦,-,"5,685,259"
202206,聚乙烯,乌兹别克斯坦,-,"30,487,701"
202206,聚乙烯,埃及,-,"982,475"
202206,聚乙烯,摩洛哥,-,"240,733"
202206,聚乙烯,南非,-,"2,334,245"
202206,聚乙烯,比利时,-,"134,153,292"
202206,聚乙烯,英国,-,"3,534,003"
202206,聚乙烯,德国,-,"201,856,616"
202206,聚乙烯,法国,-,"47,796,234"
202206,聚乙烯,爱尔兰,-,"2,341"
202206,聚乙烯,意大利,-,"12,705,582"
202206,聚乙烯,卢森堡,-,"356,876"
202206,聚乙烯,荷兰,-,"48,151,371"
202206,聚乙烯,希腊,-,"687,931"
202206,聚乙烯,葡萄牙,-,"7,547,016"
202206,聚乙烯,西班牙,-,"117,531,705"
202206,聚乙烯,奥地利,-,"339,272"
202206,聚乙烯,保加利亚,-,"196,757"
202206,聚乙烯,芬兰,-,"9,184,954"
202206,聚乙烯,匈牙利,-,603
202206,聚乙烯,挪威,-,"1,651,983"
202206,聚乙烯,波兰,-,"590,836"
202206,聚乙烯,瑞典,-,"76,295,799"
202206,聚乙烯,瑞士,-,"7,150,853"
202206,聚乙烯,阿塞拜疆,-,"9,604,042"
202206,聚乙烯,俄罗斯联邦,-,"136,390,123"
202206,聚乙烯,斯洛文尼亚,-,"1,442,578"
202206,聚乙烯,捷克,-,"5,386,547"
202206,聚乙烯,塞尔维亚,-,"854,898"
202206,聚乙烯,巴西,-,"56,208,762"
202206,聚乙烯,智利,-,"231,527"
202206,聚乙烯,墨西哥,-,"22,432,506"
202206,聚乙烯,秘鲁,-,"7,040"
202206,聚乙烯,加拿大,-,"174,883,488"
202206,聚乙烯,美国,-,"1,037,803,169"
202206,聚乙烯,澳大利亚,-,"40,045,949"
202206,聚乙烯,新西兰,-,"885,560"
202206,丙烯,孟加拉国,-,390
202206,丙烯,中国香港,-,"5,093,141"
202206,丙烯,印度,-,"1,804,771"
202206,丙烯,印度尼西亚,-,"3,262,055"
202206,丙烯,伊朗,-,"8,001"
202206,丙烯,以色列,-,"4,003,627"
202206,丙烯,日本,-,"325,701,588"
202206,丙烯,马来西亚,-,"74,311,908"
