公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率,
10000149,2019-12-31 00:00:00,其中:自产煤业务,千元,人民币,48080000.0,None,None,23645000.0,None,None,None,
10000149,2019-12-31 00:00:00,煤化工,千元,人民币,2863000.0,None,None,2133000.0,None,None,None,
10000149,2019-12-31 00:00:00,其中:贸易煤业务,千元,人民币,15698000.0,None,None,15180000.0,None,None,None,
10000149,2019-12-31 00:00:00,电力,千元,人民币,583000.0,None,None,486000.0,None,None,None,
10000149,2019-12-31 00:00:00,其他(补充),千元,人民币,132842542.0,None,None,130938878.0,None,None,None,
10000149,2019-12-31 00:00:00,机电装备,千元,人民币,165000.0,None,None,151000.0,None,None,None,
10000149,2019-12-31 00:00:00,煤炭,千元,人民币,63778000.0,None,None,38825000.0,None,None,None,
10000149,2019-12-31 00:00:00,铁路运输,千元,人民币,383000.0,None,None,182000.0,None,None,None,
10000149,2019-12-31 00:00:00,热力,千元,人民币,33000.0,None,None,20000.0,None,None,None,
,,,,,,,,,,,,
