交易日期,行业代码,平均开盘价,平均收盘价,平均最高价,平均最低价,成交量,成交金额,换手率,1天回报排名,1周回报排名,4周回报排名,13周回报排名,26周回报排名,52周回报排名,年初迄今回报排名,1天回报,1周回报,4周回报,13周回报,26周回报,52周回报,年初迄今回报,流通市值总和,总市值总和,市盈率,调整市盈率,追溯市盈率,市净率,调整市净率,市销率,追溯市销率,市价现金流比率,追溯市价现金流比率,红利收益率,追溯红利收益率,上涨家数,下跌家数,平盘家数
20170103,15105020,12.455789,12.722105,12.867368,12.373684,269504666.0,2932424978.27,1.8299,None,None,None,None,None,None,None,1.6491983555344512,1.459368947368421,-0.12687563157894777,4.60568052631579,23.02439847368421,6.487807157894737,0.0,134276921645.32999,179196462258.18,85.003,None,None,2.5018,None,2.5296,None,-33.1215,None,None,None,None,None,None
20170104,15105020,12.726842,12.836315,12.938421,12.605263,314218934.0,3230446047.91,2.1334,None,None,None,None,None,None,None,0.9958087577097863,1.6491510526315787,1.4010025263157897,6.2211628947368425,18.49994542105263,8.375394684210525,1.6491510526315787,135739166545.21,180958876086.4,85.839,None,None,2.5264,None,2.5545,None,-33.4473,None,None,None,None,None,None
20170105,15105020,12.839473,12.865263,13.065789,12.706842,336629059.0,3595588577.36,2.2856,None,None,None,None,None,None,None,0.41933060658542687,2.6655623684210528,2.3941868421052632,7.304801578947368,19.621936210526314,9.36483647368421,2.6655623684210528,136543849466.06999,181552035579.51004,86.1204,None,None,2.5347,None,2.5628,None,-33.5569,None,None,None,None,None,None
20170106,15105020,12.844736,12.768947,12.992631,12.617894,324778329.0,3454103920.01,2.2051,None,None,None,None,None,None,None,-0.595487816253808,3.0846652105263157,2.842130736842105,7.781774263157897,20.22835257894737,9.879426684210525,3.0846652105263157,135364196195.49998,179819786541.02002,85.2987,None,None,2.5105,None,2.5384,None,-33.2367,None,None,None,None,None,None
20170109,15105020,12.719473,12.857894,12.999473,12.597894,464942904.0,3777201758.87,3.1568,None,None,None,None,None,None,None,1.1634707338699104,1.163469789473684,3.1361188421052626,4.781626526315789,18.270172789473683,11.685812210526317,3.707374789473684,137049462309.31,182234718410.56003,86.4442,None,None,2.5442,None,2.5725,None,-33.6831,None,None,None,None,None,None
20170110,15105020,12.867894,12.822631,13.068947,12.688421,442059905.0,3630282241.74,3.0014,None,None,None,None,None,None,None,-0.17002902763048786,1.1634697894736843,3.136118842105263,4.78162652631579,18.27017278947368,11.685812210526317,3.7073747894736844,136728522145.88,181847204405.3,86.2604,None,None,2.5388,None,2.567,None,-33.6114,None,None,None,None,None,None
20170111,15105020,12.774736,12.606315,12.951052,12.467894,343906882.0,3166292481.92,2.335,None,None,None,None,None,None,None,-1.5261001399217582,0.9929789473684212,2.9999612631578945,4.57772952631579,18.00754742105263,11.446044736842106,3.540423263157895,134531578528.17001,178679981858.27997,84.758,None,None,2.4946,None,2.5223,None,-33.026,None,None,None,None,None,None
20170112,15105020,12.561052,12.421052,12.715263,12.275263,315751051.0,2727706196.96,2.1439,None,None,None,None,None,None,None,-1.4454266096961395,-0.5508743157894737,1.4477053157894744,2.835469105263158,15.866906578947368,9.16316547368421,1.9601427368421052,132585513720.73999,176245914648.57,83.6034,None,None,2.4606,None,2.4879,None,-32.5761,None,None,None,None,None,None
20170113,15105020,12.425263,12.252631,12.594736,12.152631,267616745.0,2403784461.86,1.817,None,None,None,None,None,None,None,-1.1321830372003119,-1.9860564210526312,-0.0138355789473681,1.4064635789473685,14.30727757894737,7.799365157894738,0.4830640000000002,131224135351.75,174130458991.67,82.5999,None,None,2.4311,None,2.4581,None,-32.1851,None,None,None,None,None,None
20170116,15105020,12.218947,11.617368,12.323157,11.227368,404107593.0,3447341395.42,2.7438,None,None,None,None,None,None,None,-5.018235333046971,-3.0926793684210527,-1.1936997894736845,0.33275094736842165,13.165050578947369,6.697428789473684,-0.6732287368421053,125277472912.04001,166535252037.84998,78.9971,None,None,2.325,None,2.3509,None,-30.7813,None,None,None,None,None,None
20170117,15105020,11.6945,11.995,12.075,11.5515,358085449.0,2713581555.75,2.4261,None,None,None,None,None,None,None,2.1193716626048897,-2.9862884736842106,-2.0906545263157894,-2.191276421052631,8.401318999999999,19.052204210526316,-3.467437052631578,128694299043.89,171703956291.34,78.5718,None,None,2.3862,None,2.4238,None,-32.6147,None,None,None,None,None,None
20170118,15105020,12.0655,12.151,12.325,11.8965,260643532.0,2342815634.58,1.7659,None,None,None,None,None,None,None,0.49002319203324,-2.9862884736842106,-2.0906545263157894,-2.191276421052632,8.401318999999999,19.052204210526316,-3.467437052631579,128691163016.55,171800016633.93997,78.6157,None,None,2.3875,None,2.4252,None,-32.6329,None,None,None,None,None,None
20170119,15105020,12.193,12.1875,12.396,11.9755,216135140.0,1818948632.22,1.4643,None,None,None,None,None,None,None,0.022850280292043453,-3.011308157894737,-2.1325233684210523,-2.1638318947368425,8.630794684210528,19.365852894736847,-3.5170480000000004,128128599302.45,171278944409.74,78.3773,None,None,2.3803,None,2.4178,None,-32.5339,None,None,None,None,None,None
20170120,15105020,12.2995,12.541,12.6545,12.1925,261355930.0,2428890063.44,1.7707,None,None,None,None,None,None,None,2.462495671388341,-3.5056201052631577,-2.6512544210526316,-2.7514277894736843,8.054932947368423,18.820788157894736,-4.031600631578947,130945572856.40999,175848271909.16995,80.4682,None,None,2.4438,None,2.4823,None,-33.4019,None,None,None,None,None,None
20170123,15105020,12.6495,12.8085,12.965,12.574,215097714.0,2005365114.26,1.4573,None,None,None,None,None,None,None,1.4566131834350067,-1.5061118947368421,-0.6130490000000003,-0.627623,10.490535368421051,21.643889894736844,-2.0185955263157895,131834626355.08002,177259727659.35995,81.1141,None,None,2.4634,None,2.5023,None,-33.67,None,None,None,None,None,None
20170124,15105020,12.888,12.947,13.185,12.754,249382371.0,2312394305.36,1.6896,None,None,None,None,None,None,None,1.02116287667298,1.45657135,-1.0537132631578945,0.19596194736842132,11.397689473684212,35.54590842105264,-1.0537132631578945,133004866099.79001,178642920457.94,81.747,None,None,2.4826,None,2.5218,None,-33.9327,None,None,None,None,None,None
20170125,15105020,13.0645,13.109,13.2835,12.8625,256913663.0,2248558368.47,1.7406,None,None,None,None,None,None,None,1.3845935693657174,2.5286387500000003,-0.46084863157894745,0.8274414210526317,12.037415315789472,36.13142878947368,-0.46084863157894745,134294853439.66,180265845511.19998,82.4897,None,None,2.5051,None,2.5447,None,-34.241,None,None,None,None,None,None
20170126,15105020,13.2595,13.261,13.394,13.104,234874217.0,2040236097.22,1.5913,None,None,None,None,None,None,None,0.5312421467672401,4.023566450000001,0.4164402631578952,1.585405473684211,12.745271578947367,36.95902494736842,0.4164402631578952,134385472286.84,180729764808.45996,82.702,None,None,2.5116,None,2.5512,None,-34.3291,None,None,None,None,None,None
20170203,15105020,13.414,13.3425,13.544,13.2095,161401903.0,1526621974.17,1.0935,None,None,None,None,None,None,None,-0.07038129156730608,4.7243312,0.47989247368421034,1.6153372105263164,12.721661684210527,36.74355578947368,0.47989247368421034,133681296962.87,180009909355.67,82.3726,None,None,2.5016,None,2.5411,None,-34.1924,None,None,None,None,None,None
20170206,15105020,13.368,13.727,13.7995,13.24,254470651.0,2854838785.46,1.7241,None,None,None,None,None,None,None,1.86293316088283,-0.07038585,-2.686968052631579,0.4990857894736843,14.292634526315789,32.85818515789474,-0.15238736842105266,135319906110.95,182313229825.99997,83.4266,None,None,2.5336,None,2.5736,None,-34.6299,None,None,None,None,None,None
20170207,15105020,13.6375,13.7935,13.9745,13.495,267864545.0,2979651549.97,1.8148,None,None,None,None,None,None,None,0.46495613951026965,1.8629359,1.860531842105263,0.174925894736842,15.014037210526313,47.11408226315789,1.3742630000000005,136145612050.88,183069648452.26004,83.7727,None,None,2.5441,None,2.5843,None,-34.7735,None,None,None,None,None,None
20170208,15105020,13.742,13.9855,14.139,13.5865,312226347.0,3314417150.18,2.1154,None,None,None,None,None,None,None,1.3422804241164497,2.33388545,2.4751001052631576,0.8961976842105259,16.038253368421053,48.441946263157895,1.9523984210526313,137965194347.44,185472785077.79004,84.8724,None,None,2.5775,None,2.6182,None,-35.23,None,None,None,None,None,None
20170209,15105020,13.9655,14.1825,14.4165,13.834,469613763.0,4707945699.69,3.1817,None,None,None,None,None,None,None,1.7206337529662907,3.7124105,3.657620052631579,2.1044802105263165,17.359490368421053,49.95943478947368,3.185469578947368,140713759948.06003,189279594635.28006,86.6144,None,None,2.6304,None,2.6719,None,-35.9531,None,None,None,None,None,None
20170210,15105020,14.1495,14.0725,14.3665,13.944,347225804.0,3400785284.59,2.3525,None,None,None,None,None,None,None,-0.48942860152111967,5.469568799999999,5.6322538947368415,4.083239421052632,19.755481263157897,53.38716342105263,5.13884847368421,140052282502.38,188039542021.18997,86.0469,None,None,2.6132,None,2.6544,None,-35.7176,None,None,None,None,None,None
20170213,15105020,14.0625,14.2415,14.467,13.8935,318185524.0,3418984731.61,2.1557,None,None,None,None,None,None,None,0.6771989468982762,4.9648813999999994,5.165579578947369,3.6803856315789467,19.249835631578943,52.51473663157895,4.711169000000001,140813698385.63,189440815087.4,86.6882,None,None,2.6326,None,2.6742,None,-35.9837,None,None,None,None,None,None
