交易日期,行业代码,平均开盘价,平均收盘价,平均最高价,平均最低价,成交量,成交金额,换手率,1天回报排名,1周回报排名,4周回报排名,13周回报排名,26周回报排名,52周回报排名,年初迄今回报排名,1天回报,1周回报,4周回报,13周回报,26周回报,52周回报,年初迄今回报,流通市值总和,总市值总和,市盈率,调整市盈率,追溯市盈率,市净率,调整市净率,市销率,追溯市销率,市价现金流比率,追溯市价现金流比率,红利收益率,追溯红利收益率,上涨家数,下跌家数,平盘家数
20170103,15101010,17.49993,17.677622,17.856013,17.342657,1435306465.0,16062426716.14,1.4205,None,None,None,None,None,None,None,1.006932551855287,0.9962392377622378,-0.30954266666666674,6.0953564388489205,15.894283798507464,-0.6564967984496128,0.0,1057649710965.6998,1427366355452.57,73.5993,None,None,3.3326,None,2.5272,None,34.4771,None,0.0003,None,None,None,None
20170104,15101010,17.509166,17.859444,18.027152,17.356666,2005276002.0,23810601079.41,1.9809,None,None,None,None,None,None,None,1.7393730849224047,1.0069210489510492,0.25027399295774627,6.364523014388488,12.886211917910455,-3.947652968992247,1.0069210489510492,1078262659626.5599,1484722017973.6501,81.4245,None,None,3.4638,None,2.6788,None,36.1738,None,0.0003,None,None,None,None
20170105,15101010,17.656206,17.596206,17.944137,17.382413,1866589201.0,23343573555.18,1.8434,None,None,None,None,None,None,None,0.020087701011968565,2.7717687482517483,1.8865235211267606,8.218274251798563,14.774650194029858,-2.1638688837209314,2.7717687482517483,1079960079931.4999,1486921551189.4705,81.2481,None,None,3.4655,None,2.6827,None,36.1881,None,0.0003,None,None,None,None
20170106,15101010,17.487328,17.269863,17.747054,17.06,1919701996.0,21850723282.84,1.8948,None,None,None,None,None,None,None,-0.7719989349616758,2.714110510489508,1.8850843873239438,8.25842015107914,14.929584708955232,-1.94630215503876,2.714110510489508,1074317904830.77,1477487233877.5107,80.4692,None,None,3.4398,None,2.6685,None,35.9187,None,0.0003,None,None,None,None
20170109,15101010,17.266301,17.366369,17.623835,17.024794,1699131369.0,20311826854.14,1.6597,None,None,None,None,None,None,None,0.7144241671912093,0.714430369863014,2.4326083732394372,4.153974812949641,14.492675580882349,1.2316683538461541,2.308113573426574,1088092230066.4701,1486888312112.6104,80.9813,None,None,3.4617,None,2.7091,None,36.1473,None,0.0003,None,None,None,None
20170110,15101010,17.406734,17.329659,17.644761,17.189523,1625648038.0,18345860664.67,1.5875,None,None,None,None,None,None,None,-0.3261116619058191,0.7144303698630134,2.4326083732394364,4.153974812949641,14.492675580882349,1.2316683538461544,2.3081135734265743,1081583413388.4802,1480763847383.6301,80.3534,None,None,3.4442,None,2.6979,None,35.9288,None,0.0003,None,None,None,None
20170111,15101010,17.224081,16.937687,17.393673,16.789659,1438979125.0,16123740035.38,1.4052,None,None,None,None,None,None,None,-1.3011157842302516,0.402315328767123,1.8764944366197194,3.6067669999999974,13.941599220588232,0.7182774153846158,1.7300190489510492,1066821159289.9999,1459980178187.3499,79.2256,None,None,3.3958,None,2.6601,None,35.4246,None,0.0003,None,None,None,None
20170112,15101010,17.119795,17.025442,17.444693,16.849047,1305016321.0,15523553642.18,1.2744,None,None,None,None,None,None,None,-0.5735832185851457,-0.9299764178082189,0.2557012816901406,1.8997109712230216,12.015867669117641,-0.7417141076923088,0.08200895804195817,1056530985605.0002,1448611203165.7402,78.6087,None,None,3.3694,None,2.6394,None,35.1487,None,0.0003,None,None,None,None
20170113,15101010,17.108503,16.723061,17.304353,16.518435,1280407184.0,15669398786.88,1.2504,None,None,None,None,None,None,None,-1.4314163582939015,-1.4966988150684937,-0.61723611971831,0.9714102949640291,10.994859632352947,-1.711080769230769,-0.7913081888111888,1041055912274.9598,1428151018403.34,77.4984,None,None,3.3218,None,2.6021,None,34.6523,None,0.0003,None,None,None,None
20170116,15101010,16.68517,15.988979,16.897414,15.450408,1760337769.0,19959250492.72,1.719,None,None,None,None,None,None,None,-3.898605006140765,-2.850786726027399,-2.3478462816901406,-0.7881413741007199,9.089555382352941,-3.2768924538461546,-2.518124496503497,1007586440103.3699,1382482192419.6099,75.0202,None,None,3.2156,None,2.5189,None,33.5442,None,0.0003,None,None,None,None
