公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率,
10000963,2021-12-31 00:00:00,电,元,人民币,1885631657.06,None,None,1671968260.25,None,None,None,
10000963,2021-12-31 00:00:00,钒产品,元,人民币,4515204044.74,None,None,3138221121.7,None,None,None,
10000963,2021-12-31 00:00:00,钢材及钢材制品,元,人民币,293220087.92,None,None,None,None,None,None,
10000963,2021-12-31 00:00:00,其他,元,人民币,590367642.42,None,None,None,None,None,None,
10000963,2021-12-31 00:00:00,其他(补充),元,人民币,None,None,None,573057089.09,None,None,None,
10000963,2021-12-31 00:00:00,钛白粉,元,人民币,4072822329.07,None,None,3100990268.78,None,None,None,
10000963,2021-12-31 00:00:00,钛精矿,元,人民币,1596985516.0,None,None,None,None,None,None,
10000963,2021-12-31 00:00:00,钛渣,元,人民币,1106042525.57,None,None,921308102.38,None,None,None,
,,,,,,,,,,,,
